	z_a	z_e	a	e	a_logits	e_logits	e_in
0	[-0.8295676112174988, -0.7014905214309692, -1.0257230997085571, 1.0797653198242188, 0.659131646156311, -0.14868676662445068, -0.7275848388671875, -0.983818531036377]	[2.077132225036621, -2.541351556777954, -2.502338409423828, 0.20211845636367798, 2.9628071784973145, -3.4694294929504395, 0.18606726825237274, 0.9882404804229736, 5.183465957641602, -2.5578503608703613, 2.1003835201263428, -0.13347524404525757, 0.5719234943389893, 1.6063199043273926, 2.4212145805358887, -1.3072181940078735]	5.0	0.0	[-0.8342301249504089, -0.15893729031085968, -0.8314533829689026, 0.5712354183197021, -0.6695584058761597, 0.9816117882728577, -0.04661468416452408, 0.9157297015190125]	[2.096839189529419, -0.6518489718437195, -0.5227747559547424, -0.7064058184623718, -0.690309464931488, -0.7006226778030396, -0.7223494648933411, -0.8663067817687988, -0.9482542872428894, -0.8988009691238403, -0.8878025412559509]	0
1	[-0.2633700370788574, 0.22958797216415405, -0.6919254064559937, -0.8201081156730652, -0.4208810031414032, 0.3797270655632019, -2.6141462326049805, 0.5446959137916565]	[-0.8531157970428467, 2.027580976486206, 0.43617749214172363, -0.5620535612106323, -1.0762779712677002, 0.6512697339057922, -1.6659414768218994, -0.015635669231414795, -1.2676951885223389, -0.36480027437210083, -2.419422149658203, -1.1459405422210693, -0.3220057487487793, -0.5627966523170471, -2.198608875274658, -0.26004940271377563]	1.0	4.0	[1.044260025024414, 1.8035423755645752, 1.0115076303482056, -0.02835192158818245, 1.520723819732666, -0.3499288260936737, 0.40067681670188904, 0.5479132533073425]	[-0.44192737340927124, -0.7413257360458374, -0.6352158188819885, -0.2887886166572571, 1.9943783283233643, -0.9538472890853882, -0.7549000382423401, -1.2411620616912842, -1.2451637983322144, -1.3176382780075073, -1.172266960144043]	0
2	[-0.44882553815841675, 1.1094831228256226, 0.3765556812286377, -0.4316460192203522, -0.1176338791847229, 0.3529685437679291, -1.2828683853149414, 0.41890066862106323]	[-1.090946912765503, 2.619058847427368, -0.0850362777709961, -1.0172315835952759, -0.5206299424171448, 0.6650789380073547, -0.7436862587928772, 0.7353804707527161, -0.8818472623825073, 0.055564142763614655, -2.001171350479126, -0.8991255164146423, -0.18892037868499756, -3.249558448791504, -1.061393141746521, 1.3121156692504883]	0.0	3.0	[1.4350706338882446, 0.6442074775695801, 1.050516963005066, -0.5369255542755127, 0.15923500061035156, 0.12064114212989807, -0.5790882706642151, -0.19260479509830475]	[-0.772466778755188, -0.44571399688720703, -0.71248859167099, 1.9291129112243652, -0.733569324016571, -0.2919325828552246, -0.4745394289493561, -0.8534698486328125, -0.6581372618675232, -0.9389032125473022, -0.6265937089920044]	3
3	[-0.3189527690410614, -1.2869409322738647, 0.6029207706451416, 0.10312995314598083, 0.09228967130184174, -0.22247053682804108, -3.0450820922851562, -1.6530532836914062]	[0.025048792362213135, -1.784472942352295, -0.2711063325405121, -1.5577796697616577, 2.4515044689178467, -1.7358185052871704, 1.5247138738632202, -1.2441785335540771, 1.1699713468551636, -0.4250650405883789, 1.0009527206420898, -0.5091891884803772, 1.32746160030365, 1.4301064014434814, 0.7463443875312805, 0.02234169840812683]	3.0	1.0	[-0.5326892733573914, 1.0952279567718506, 0.4612797200679779, 2.627748727798462, 0.6116781830787659, 1.3201559782028198, 0.6837557554244995, 0.6275292634963989]	[0.17240624129772186, 2.4358227252960205, -0.4355086088180542, -0.6317309141159058, -0.7585371136665344, 0.970508337020874, 0.6491153836250305, 1.2756025791168213, 0.8167257905006409, 0.5851214528083801, 0.7863052487373352]	0
4	[-1.187855839729309, 0.8528103828430176, 0.8908587098121643, 0.28003227710723877, 0.2932720184326172, 0.4939199686050415, 2.5192551612854004, 0.8599575161933899]	[0.6052507162094116, 1.7663942575454712, 0.36766600608825684, 0.40114137530326843, 0.32225751876831055, -0.5303295254707336, -1.5747790336608887, 2.3592865467071533, -0.6867820620536804, -0.795762300491333, -0.8753075003623962, -1.3156945705413818, -1.720494270324707, -0.8086050152778625, -0.8259507417678833, 0.3513791561126709]	0.0	4.0	[1.359102487564087, -1.8351824283599854, -0.269817978143692, -2.144352674484253, -2.103226900100708, -1.4218106269836426, -1.7808102369308472, -0.6901848912239075]	[0.28506454825401306, -0.37243616580963135, -0.7926091551780701, -0.4575348496437073, 1.0299686193466187, -1.0225776433944702, -0.9459911584854126, -0.9886931777000427, -1.2564820051193237, -1.1438597440719604, -0.9394413828849792]	0
5	[-0.3013017475605011, 1.5013295412063599, 0.03589630499482155, -1.200620174407959, -0.48944932222366333, 0.013261258602142334, -2.6701016426086426, 0.0006400682032108307]	[0.27919942140579224, 3.4530177116394043, 1.1816377639770508, 0.8310320377349854, 0.6630198359489441, 1.088897943496704, -1.8300760984420776, 0.759986400604248, -4.547392845153809, -0.025682611390948296, -2.1321887969970703, -1.0065555572509766, -2.331836223602295, -3.5043892860412598, -2.9980742931365967, 2.377279281616211]	1.0	0.0	[1.0315520763397217, 1.6913301944732666, 1.4752743244171143, 0.029563089832663536, 1.2287110090255737, 1.1576238870620728, -0.5490900874137878, -0.27775251865386963]	[1.0301326513290405, -0.3156071603298187, -0.7423268556594849, -0.05531785264611244, -0.44748952984809875, -0.7260544896125793, -0.3989945650100708, -0.9199482202529907, -1.005567193031311, -1.0497089624404907, -0.9781560897827148]	0
6	[-0.6179577112197876, -1.8024510145187378, -0.6721611022949219, 1.2791637182235718, 0.9265618324279785, -0.129031240940094, 1.1691367626190186, -1.2851157188415527]	[2.134730577468872, -0.3919506072998047, 0.919069766998291, -1.7232651710510254, 1.6951451301574707, -0.9493860006332397, -0.914421021938324, 0.9540002346038818, 2.639303684234619, -0.8159985542297363, 2.6320416927337646, 2.3227522373199463, -0.5307175517082214, 1.2311455011367798, 3.0850300788879395, -0.6377164125442505]	7.0	3.0	[-1.4419223070144653, -1.480626106262207, -1.8277766704559326, 0.47920694947242737, -1.4284499883651733, 0.06396955996751785, 0.02046338841319084, 0.6737018823623657]	[-0.5880935788154602, -0.4731248617172241, -0.19049155712127686, 1.9291770458221436, -0.7000079154968262, -0.8777807950973511, -0.7990267276763916, -1.127535104751587, -1.2353262901306152, -1.0982085466384888, -1.0833040475845337]	3
7	[0.12061922252178192, -0.9729858636856079, -0.3007966876029968, 0.0010773539543151855, 0.12769833207130432, 0.025951355695724487, -0.5617780685424805, -1.1428533792495728]	[-1.5884370803833008, -2.487931489944458, 0.23552390933036804, -0.13399700820446014, 0.5219278335571289, 0.003134278580546379, -1.3999592065811157, -0.9123450517654419, -0.4652632176876068, -2.421238660812378, -0.09138012677431107, 1.6226885318756104, -0.4371512532234192, 0.19816356897354126, 1.6175180673599243, -0.5741883516311646]	3.0	3.0	[-0.7323528528213501, -0.1491101235151291, -0.489795058965683, 0.6739704012870789, 0.12883037328720093, 0.4545809328556061, 0.4644329845905304, -0.0022236339282244444]	[-0.019762210547924042, -0.47221657633781433, -0.8367008566856384, 1.7784292697906494, -1.00079345703125, -0.8464420437812805, -0.7296658754348755, -0.5897489786148071, -1.1241614818572998, -0.9472606182098389, -1.033794641494751]	2
8	[-0.5564000606536865, 1.0504906177520752, 1.0529606342315674, -1.3131532669067383, -0.3533770442008972, 0.7221260666847229, 0.3124820590019226, 1.193168044090271]	[-1.5245052576065063, 3.857083559036255, 0.8660203218460083, 1.5968965291976929, -1.0787079334259033, 1.698470115661621, -3.423630475997925, -0.5289672613143921, -3.380335807800293, -0.719837486743927, -2.339505434036255, -0.09506577253341675, -2.3795406818389893, -2.4941999912261963, -3.095370292663574, 2.089700222015381]	0.0	2.0	[2.0442397594451904, 0.032790299504995346, 1.0127949714660645, -1.5351015329360962, -0.06141461059451103, -1.4731158018112183, -1.1096351146697998, -0.7353566884994507]	[0.1829911470413208, -0.42421168088912964, 2.492896318435669, -0.44350460171699524, -0.602450966835022, 0.16758662462234497, 0.2358451783657074, 1.039312481880188, 0.7473514676094055, 0.2755722999572754, 0.36012524366378784]	0
9	[-0.8971232771873474, -0.6897526979446411, -0.7913211584091187, 1.6544723510742188, 1.172864317893982, -0.010036081075668335, -0.23594754934310913, -0.04790660738945007]	[0.9130699038505554, -2.162346839904785, -2.8531928062438965, 1.3352893590927124, 1.010427713394165, -2.7440011501312256, -0.5563271045684814, 1.5446707010269165, 3.728370189666748, -1.740850806236267, 2.449178695678711, 0.6837276816368103, 1.6469683647155762, 4.774273872375488, 1.2673816680908203, -0.9883832931518555]	7.0	4.0	[0.11551067978143692, -0.4329449236392975, -0.8428753614425659, 0.07269024103879929, -1.145240306854248, -0.13564272224903107, -0.16538836061954498, 1.4166059494018555]	[-0.7527759671211243, 0.12905944883823395, 0.3146837055683136, -0.7680100202560425, 1.6724320650100708, -0.13174277544021606, 0.20045602321624756, -0.04035437852144241, -0.10343163460493088, -0.15434542298316956, 0.006919288542121649]	6
10	[-0.18028387427330017, -2.0610599517822266, -0.9325380325317383, 0.19403612613677979, 0.024234026670455933, -0.39117908477783203, -0.37711474299430847, -1.1443294286727905]	[-0.24646997451782227, -1.6024583578109741, -1.53851318359375, 0.0331842303276062, 1.7479230165481567, 0.6212074756622314, -1.1644810438156128, 0.5885301828384399, 4.207334995269775, 0.6584177017211914, 1.8025693893432617, 0.20300140976905823, 1.3741785287857056, 1.1216106414794922, 1.8786548376083374, -0.7403894066810608]	3.0	6.0	[-1.5100740194320679, -0.16368265450000763, -1.2596447467803955, 0.9513871073722839, 0.35998833179473877, -0.4467332363128662, 0.6872889995574951, 0.5508388876914978]	[-0.6078285574913025, -0.06154746562242508, -0.06305401027202606, -0.805070161819458, 0.06152915209531784, 1.4796085357666016, 4.685983657836914, 2.3752694129943848, 1.9427928924560547, 2.020223379135132, 2.0820255279541016]	6
11	[-0.2707591652870178, 0.6739638447761536, 0.26688912510871887, -0.42078202962875366, -1.2859688997268677, 0.3127956986427307, -0.5025302171707153, 0.3861199915409088]	[-0.43600139021873474, 4.482882976531982, 2.1643428802490234, -0.44427770376205444, -2.3034143447875977, 1.4772249460220337, -1.5318055152893066, -0.8277430534362793, -3.276780605316162, -0.05596085265278816, -1.6504127979278564, 0.351530522108078, -0.48610931634902954, -3.257627487182617, -2.9580798149108887, 2.66471004486084]	0.0	3.0	[1.0159411430358887, 0.03494548052549362, 0.8099740147590637, -1.1594644784927368, 0.31482401490211487, -1.0768612623214722, -0.030545616522431374, -1.166109323501587]	[-0.4322262406349182, -0.8183351755142212, -0.7301384806632996, 1.9963513612747192, -0.7186214923858643, -0.903235912322998, -0.6083533763885498, -0.565514326095581, -1.1178969144821167, -0.9335091710090637, -1.0139658451080322]	2
