	z_a	z_e	a	e	a_logits	e_logits	e_in
0	[0.2909211218357086, 4.582282066345215, 0.17821691930294037, 2.7299113273620605]	[3.005540370941162, -0.7673329710960388, 4.549870491027832, 9.853923797607422, -8.585665702819824, -12.918177604675293, -11.691939353942871, -2.165816068649292]	7.0	0.0	[0.3266797959804535, 0.9703003764152527, 0.40230244398117065, 3.0594711303710938, 1.526900053024292, 1.6401951313018799, 1.1686012744903564, 3.1340715885162354]	[1.0803142786026, -1.0995597839355469, -0.027596618980169296, -0.7684078812599182, -1.223598837852478, -1.608971118927002, -1.0983197689056396, -1.2057290077209473, -1.4459656476974487, -1.3939266204833984, -1.535027027130127]	0
1	[-0.5030257105827332, 1.143249750137329, 0.35231950879096985, -0.6833110451698303]	[3.423630714416504, -7.168556213378906, 7.9296979904174805, 9.468541145324707, -9.007675170898438, -12.704972267150879, -12.931816101074219, -3.103156328201294]	0.0	5.0	[1.4942039251327515, 1.0661282539367676, 1.3481981754302979, 0.06139465421438217, 0.5118613243103027, 0.6413895487785339, -0.6252800822257996, 0.2757830321788788]	[-0.23804286122322083, 0.8273481726646423, 0.4254152476787567, 0.14550794661045074, 0.7252814769744873, 1.4135462045669556, 0.5308592915534973, 0.8490810990333557, 0.49098825454711914, 0.6576374769210815, 0.6869699358940125]	0
2	[0.7498171925544739, -1.2044365406036377, 0.869344174861908, -0.7058568000793457]	[2.769251585006714, -5.844289779663086, 7.994411945343018, 9.463227272033691, -10.253888130187988, -11.045051574707031, -13.592665672302246, -3.418632984161377]	0.0	3.0	[-0.1583067923784256, -0.7257981896400452, -0.39095041155815125, -1.3224016427993774, -0.7979546785354614, -1.1441580057144165, -0.4085928499698639, -1.3535802364349365]	[-0.7789696455001831, -0.4752901792526245, -0.2858607769012451, 1.9646217823028564, 0.001812754780985415, 0.16445617377758026, 0.8743569254875183, 0.72434002161026, 0.5989013314247131, 0.9788349270820618, 0.8247167468070984]	3
3	[1.4425073862075806, 1.6015617847442627, 1.7785718441009521, 0.27912890911102295]	[4.157686233520508, -4.776681900024414, 6.877326488494873, 9.226972579956055, -10.017120361328125, -11.268507957458496, -15.181262969970703, -4.237100124359131]	6.0	0.0	[-0.5798977613449097, 0.1718732714653015, -0.2154209315776825, 0.5314489603042603, 0.6581466794013977, 0.39950117468833923, 1.1205573081970215, -0.17469003796577454]	[1.4055010080337524, -0.30797338485717773, 0.1979677975177765, -0.8281506299972534, -0.5031319260597229, 0.18282486498355865, 0.10987033694982529, -0.21098384261131287, -0.22189871966838837, -0.3243333697319031, -0.21148690581321716]	0
4	[-1.3931573629379272, -0.5837998390197754, -1.8254046440124512, 0.254512757062912]	[2.047578811645508, -5.984631061553955, 6.661052227020264, 8.376190185546875, -7.732122898101807, -11.066817283630371, -11.4646635055542, -2.305206537246704]	0.0	2.0	[1.7667253017425537, -0.26280635595321655, 0.6864736676216125, -0.5329993367195129, -1.0187575817108154, -1.0754563808441162, -2.0168814659118652, 0.8658053874969482]	[0.4776369333267212, 0.3334670066833496, 1.0157955884933472, 0.5633124709129333, 0.44530975818634033, 1.0035455226898193, 0.8957319259643555, 0.7740054726600647, 0.717206597328186, 0.7486238479614258, 0.8896930813789368]	0
5	[0.3531036972999573, -0.14228498935699463, 1.2176247835159302, -0.8559760451316833]	[4.944254398345947, -6.106225967407227, 7.189658164978027, 8.042431831359863, -6.94028377532959, -10.450679779052734, -10.966053009033203, -2.168604850769043]	0.0	4.0	[0.41225719451904297, 0.20008791983127594, 0.3855845332145691, -0.7749230861663818, -0.07721726596355438, -0.09659548103809357, -0.3176208436489105, -0.8867970108985901]	[0.5576175451278687, -1.4026228189468384, 0.5174850225448608, 0.21932032704353333, 1.1339737176895142, 0.24080799520015717, 0.9864270091056824, 1.0846903324127197, 0.8352400064468384, 0.6952570080757141, 0.7066860198974609]	0
6	[0.34375014901161194, -1.49839448928833, 1.4092113971710205, 1.9650620222091675]	[2.8106775283813477, -2.6537303924560547, 6.641014575958252, 8.853023529052734, -8.16947078704834, -14.133356094360352, -11.084558486938477, -4.189735412597656]	7.0	0.0	[-1.1762617826461792, -1.6140503883361816, -1.6247920989990234, -0.7193983793258667, -1.527506709098816, -0.9712506532669067, -0.5372718572616577, -0.017020121216773987]	[0.1461276262998581, -1.0688936710357666, -1.3213915824890137, -0.09342779219150543, -0.4976423680782318, -1.2659621238708496, -1.493222951889038, -1.4410443305969238, -1.6399224996566772, -1.4448274374008179, -1.5933218002319336]	3
7	[1.4859323501586914, -1.1862564086914062, 1.3062198162078857, -0.8011342287063599]	[3.8292181491851807, -5.571819305419922, 9.416690826416016, 10.691266059875488, -9.7031831741333, -11.31200885772705, -14.167959213256836, -3.007388114929199]	6.0	0.0	[-0.7647183537483215, -0.9820402264595032, -0.8067581057548523, -1.365522027015686, -0.731644868850708, -1.3403465747833252, 0.1612306833267212, -1.8055274486541748]	[1.6502983570098877, -0.5193955898284912, 0.5535621047019958, -0.15160536766052246, -0.7772265076637268, 0.05611967295408249, 0.8292188048362732, 0.6795557141304016, 0.5047184824943542, 0.3980114459991455, 0.8150128722190857]	2
8	[-0.6522719860076904, 1.4783289432525635, 0.19220378994941711, -0.8841755986213684]	[4.112828254699707, -7.232301712036133, 8.550289154052734, 10.267898559570312, -8.258331298828125, -10.069486618041992, -12.66002082824707, -0.8410402536392212]	0.0	0.0	[1.8121763467788696, 1.3676297664642334, 1.6812858581542969, 0.20228247344493866, 0.734375, 0.8457773327827454, -0.6605788469314575, 0.4063233733177185]	[2.171630859375, -0.10794197022914886, 2.029690742492676, -0.48852989077568054, -1.6278334856033325, 0.31909313797950745, 0.6932913661003113, 0.9386487007141113, 0.746999979019165, 0.7364446520805359, 0.785755455493927]	0
9	[-0.3774632215499878, 1.5951011180877686, 0.6213904023170471, 2.447227716445923]	[2.4173543453216553, -1.1052440404891968, 3.505525588989258, 7.191280841827393, -7.914322376251221, -10.906366348266602, -10.73520278930664, -1.6628206968307495]	7.0	4.0	[0.11371437460184097, 0.01240778062492609, -0.18837246298789978, 1.241573691368103, 0.014543967321515083, 0.6949167251586914, -0.1664263755083084, 1.9727997779846191]	[-0.22073544561862946, -0.8092843890190125, -0.10413651168346405, -0.6477464437484741, 0.11932070553302765, -1.436035394668579, -1.1046721935272217, -1.0772958993911743, -1.2544937133789062, -1.3727589845657349, -1.2849972248077393]	6
