group	step	toxic	humanlike	reward	helpfulness	load	relv
llama	9	9.183545998842629	0.6198286771229499	0.08520365820990669	4.373143857756471	42.74548553516662	0.0017990418799106252
non_load	9	9.180533568499396	0.6189681053844135	0.08668194492398264	4.374622144470547	42.77521054729137	0.0017797178084195567
load	9	9.159095135155846	0.6175747529609882	0.08094820430855346	4.368888403855118	42.187036917775806	0.0016384092375561136
llama	19	9.193274513737569	0.6183563894218124	0.0797331454707127	4.367673345017278	43.044226442910485	0.0019934846117548354
non_load	19	9.163120374713328	0.6192810803905437	0.08038060763822402	4.368320807184789	42.23481618012738	0.0017635409941026766
load	19	9.183953353054903	0.6222237974558227	0.08474820553607151	4.372688405082636	42.263655697234576	0.0022526204697615256
llama	29	9.186273460716723	0.6226719422611329	0.08617805203581168	4.374118251582376	42.89323224720093	0.0021796235228837496
non_load	29	9.173367484715769	0.623236790971936	0.08266423091389774	4.370604430460462	42.95508965936881	0.00198915914815051
load	29	9.175985836080217	0.6223992149915479	0.0858149281254521	4.373755127672017	41.876493405464686	0.0026252260908066105
llama	39	9.18259691760301	0.6263315685948637	0.08944302010380364	4.377383219650368	43.70347854597636	0.0026501415161466887
non_load	39	9.185476017037248	0.6241126431759981	0.08575599728586367	4.373696196832428	42.73915872397246	0.00231781478742638
load	39	9.177403413028758	0.6223390957818496	0.08637893625853628	4.374319135805101	41.561823014755916	0.0027808359797608455
llama	49	9.206873931221192	0.6270283152917167	0.09491934069880732	4.382859540245372	43.23476765701194	0.0038941155778752148
non_load	49	9.190307383534694	0.6294542500967097	0.08390417395074383	4.371844373497308	43.608941803934265	0.002259066729830067
load	49	9.169821503849331	0.6226817826396017	0.10173302221402104	4.389673221760586	41.21397716713367	0.00457617491571287
llama	59	9.21825079249141	0.630182525431859	0.10321185386258792	4.391152053409153	43.772629285741736	0.004312416834679883
non_load	59	9.180982555828843	0.628597390065619	0.09177452795905486	4.379714727505619	43.20540557395918	0.0024320620139669904
load	59	9.19751003510552	0.626303874070539	0.10549591096657814	4.393436110513143	41.153106180722936	0.004854613402850996
llama	69	9.209000017823477	0.6257421042985731	0.1035784110524296	4.391518610598994	43.71814784006356	0.004517673332193596
non_load	69	9.207743817795077	0.621546832980864	0.08313797444819365	4.371078173994758	42.925107609472505	0.0023279592756807895
load	69	9.187857855944072	0.6242178499554578	0.10106321170698843	4.389003411253553	40.93582116284921	0.004865226403646954
llama	78	9.201886924503935	0.6305374201860183	0.10472458359462763	4.392664783141193	43.77106578396816	0.004757861546167174
non_load	78	9.189225929222335	0.6247808527492072	0.08714206468046101	4.375082264227026	43.28554369255348	0.002516573670642916
load	78	9.189671478240319	0.618095478656436	0.10672207247457732	4.394662272021142	40.861381293382	0.004955293345717545
