group	step	toxic	humanlike	reward	helpfulness	load	relv
llama	9	9.134164360915523	0.4002791351612357	0.11169558085647284	4.399635756249522	43.326866428940384	0.0037292102421340044
load	9	9.142295141157762	0.4002791354014723	0.11311037717042145	4.40105055256347	43.237921211454605	0.003764721202407578
non_load	9	9.147029728801161	0.40027913557028716	0.1093330579126063	4.397273233305655	44.074258125737344	0.0037894831473869552
llama	19	9.159750729146737	0.40027913554431566	0.11213254284495103	4.4000727182379995	43.58754375349722	0.0037473999449389663
non_load	19	9.137336024635498	0.40027913508332114	0.11001451841366837	4.397954693806716	45.11188358491802	0.003714402659291739
load	19	9.165232473335884	0.4002791346937483	0.11788247940587063	4.405822654798919	42.695193307539995	0.004142233209654834
llama	29	9.15789131961422	0.4002791347456913	0.11061259510730087	4.398552770500349	43.06126835756572	0.0037144822817796884
non_load	29	9.155222382115642	0.40027913551185124	0.11104024360382479	4.3989804189968735	43.71080812036602	0.003877183528126354
load	29	9.156121666239239	0.4002791355962587	0.11007945433681048	4.398019629729859	42.84058151993097	0.00388580172800868
llama	39	9.176042629986158	0.40027913468076254	0.11246824659293514	4.400408421985984	43.02612239893745	0.003827000792224304
non_load	39	9.175465261546615	0.4002791352196716	0.10954089299785805	4.397481068390906	43.37359661494985	0.0036361770888021974
load	39	9.163597815108846	0.4002791352196716	0.11876029241059081	4.406700467803639	43.61974908604341	0.004227471967873434
llama	49	9.189994140517998	0.40027913532355774	0.11708180317432013	4.405021978567369	43.03113502053653	0.004053461110467857
non_load	49	9.148337247428811	0.4002791354274438	0.11057283977018202	4.39851301516323	44.69162502174544	0.003816430123644125
load	49	9.176189272242045	0.4002791353949794	0.11743254677142972	4.405372722164478	45.04465041493019	0.003866151274932096
llama	59	9.188698986610946	0.40027913583649527	0.11880966318458773	4.406749838577636	44.882931127215784	0.004072853952095852
non_load	59	9.160730518351972	0.40027913554431566	0.11378799409388457	4.401728169486933	46.74185922857463	0.0037395213635967265
load	59	9.182699244454795	0.40027913577805935	0.11517337215232433	4.403113547545373	44.661790677612906	0.004029561561331614
llama	69	9.204829575838867	0.40027913491450623	0.11416199305997694	4.402102168453025	43.92596706845402	0.0040467622361237
non_load	69	9.16267183474336	0.4002791355313299	0.11916526761190045	4.407105443004949	45.95628363332977	0.003882798907371589
load	69	9.18335198654848	0.4002791358429882	0.1192937137774133	4.407233889170461	43.423515935453196	0.00417111113163542
llama	78	9.189006389719728	0.4002791359403814	0.12434410108720036	4.412284276480249	47.74104792765283	0.004084353957706564
non_load	78	9.168541923808117	0.4002791349534635	0.12241350627932414	4.4103536816723725	48.42045522390627	0.003742423072268773
load	78	9.209241520498184	0.4002791354664011	0.126143685716949	4.414083861109997	46.243763816954	0.0043889499003336736
non_load	9	9.147029853464472	0.6734366307393211	0.10933305349744743	4.397273253044012	44.07425843988888	0.0037894829387959085
