,a,b,turns
0,4.893449783325195,4.893449783325195,20
1,4.269886016845703,4.269886016845703,3
2,4.5972394943237305,4.5972394943237305,13
3,4.657670021057129,4.657670021057129,20
4,4.509581089019775,4.509581089019775,3
5,4.5950236320495605,4.5950236320495605,6
6,4.8351287841796875,4.8351287841796875,19
7,4.6575703620910645,4.6575703620910645,13
8,4.2307610511779785,4.2307610511779785,3
9,4.8545451164245605,4.8545451164245605,20
10,4.826150417327881,4.826150417327881,20
11,4.425181865692139,4.425181865692139,5
12,4.858978748321533,4.858978748321533,12
13,4.326897621154785,4.326897621154785,7
14,4.364577770233154,4.364577770233154,3
15,4.595032215118408,4.595032215118408,5
16,4.646336555480957,4.646336555480957,16
17,4.658985614776611,4.658985614776611,20
18,4.77694034576416,4.77694034576416,14
19,4.300022602081299,4.300022602081299,4
20,4.567295074462891,4.567295074462891,20
21,4.5914716720581055,4.5914716720581055,20
22,4.729733467102051,4.729733467102051,16
23,4.328194618225098,4.328194618225098,3
24,4.804929256439209,4.804929256439209,20
25,4.453576564788818,4.453576564788818,4
26,4.694518566131592,4.694518566131592,17
27,4.5261735916137695,4.5261735916137695,10
28,4.333546161651611,4.333546161651611,3
29,4.6749677658081055,4.6749677658081055,20
30,4.8830366134643555,4.8830366134643555,20
31,4.739787578582764,4.739787578582764,20
32,4.825202941894531,4.825202941894531,20
33,4.30058479309082,4.30058479309082,10
34,4.565483093261719,4.565483093261719,20
35,4.7061448097229,4.7061448097229,15
36,4.51177978515625,4.51177978515625,3
37,4.6116862297058105,4.6116862297058105,13
38,4.703249454498291,4.703249454498291,20
39,4.181600093841553,4.181600093841553,20
40,4.75064754486084,4.75064754486084,18
41,4.372382640838623,4.372382640838623,6
42,4.552444934844971,4.552444934844971,14
43,4.370437145233154,4.370437145233154,4
44,4.369423866271973,4.369423866271973,18
45,4.398229122161865,4.398229122161865,3
46,4.261740207672119,4.261740207672119,20
47,4.6179656982421875,4.6179656982421875,19
48,4.9061126708984375,4.9061126708984375,20
49,4.862043857574463,4.862043857574463,20
50,4.723629474639893,4.723629474639893,19
51,4.565087795257568,4.565087795257568,9
52,4.512003421783447,4.512003421783447,8
53,4.602382183074951,4.602382183074951,20
54,4.356384754180908,4.356384754180908,4
55,4.3305792808532715,4.3305792808532715,16
56,4.821717739105225,4.821717739105225,20
57,4.309059143066406,4.309059143066406,8
58,4.903095245361328,4.903095245361328,19
59,4.595425605773926,4.595425605773926,18
60,4.320082187652588,4.320082187652588,4
61,4.1261305809021,4.1261305809021,3
62,4.57418966293335,4.57418966293335,20
63,4.844817161560059,4.844817161560059,16
64,4.701070308685303,4.701070308685303,13
65,4.472072601318359,4.472072601318359,4
66,4.726521968841553,4.726521968841553,20
67,4.2239670753479,4.2239670753479,10
68,4.617748737335205,4.617748737335205,20
69,4.368244171142578,4.368244171142578,3
70,4.564515590667725,4.564515590667725,15
71,4.451838970184326,4.451838970184326,7
72,4.47684907913208,4.47684907913208,20
73,4.615909099578857,4.615909099578857,18
74,4.7410149574279785,4.7410149574279785,18
75,4.829902648925781,4.829902648925781,20
76,4.56213903427124,4.56213903427124,10
77,4.647421360015869,4.647421360015869,5
78,4.754786014556885,4.754786014556885,13
79,4.69413948059082,4.69413948059082,15
80,4.4681077003479,4.4681077003479,17
81,4.60867166519165,4.60867166519165,20
82,4.291914463043213,4.291914463043213,3
83,4.696201801300049,4.696201801300049,15
84,4.750278472900391,4.750278472900391,20
85,4.546021938323975,4.546021938323975,4
86,4.546724319458008,4.546724319458008,8
87,4.437691688537598,4.437691688537598,5
88,4.634744644165039,4.634744644165039,16
89,4.683229923248291,4.683229923248291,4
90,4.651943683624268,4.651943683624268,8
91,4.758017063140869,4.758017063140869,19
92,4.690893173217773,4.690893173217773,20
93,4.668677806854248,4.668677806854248,16
94,4.469998836517334,4.469998836517334,17
95,4.8508076667785645,4.8508076667785645,20
96,4.6163554191589355,4.6163554191589355,9
97,4.700173377990723,4.700173377990723,20
98,4.823261737823486,4.823261737823486,20
99,4.488467693328857,4.488467693328857,6
100,4.252288818359375,4.252288818359375,3
101,4.469699859619141,4.469699859619141,19
102,4.8190813064575195,4.8190813064575195,12
103,4.631878852844238,4.631878852844238,6
104,4.611544609069824,4.611544609069824,20
105,4.6784987449646,4.6784987449646,18
106,4.6820573806762695,4.6820573806762695,20
107,4.6998772621154785,4.6998772621154785,10
108,4.613032341003418,4.613032341003418,20
109,4.101846694946289,4.101846694946289,7
110,4.413938045501709,4.413938045501709,20
111,4.7108869552612305,4.7108869552612305,15
112,4.672897815704346,4.672897815704346,14
113,4.599971771240234,4.599971771240234,20
114,4.854959011077881,4.854959011077881,20
115,4.802409648895264,4.802409648895264,20
116,4.754861354827881,4.754861354827881,20
117,4.548130035400391,4.548130035400391,13
118,4.672111988067627,4.672111988067627,16
119,4.607776641845703,4.607776641845703,19
120,4.723915100097656,4.723915100097656,20
121,4.724815845489502,4.724815845489502,11
122,4.605576038360596,4.605576038360596,10
123,4.366702556610107,4.366702556610107,6
124,4.757471561431885,4.757471561431885,20
125,4.492450714111328,4.492450714111328,10
126,4.8167572021484375,4.8167572021484375,7
127,4.175708770751953,4.175708770751953,3
128,4.862126350402832,4.862126350402832,16
129,4.599958896636963,4.599958896636963,6
130,4.53803825378418,4.53803825378418,9
131,4.698215484619141,4.698215484619141,10
132,4.402927398681641,4.402927398681641,10
133,4.534570217132568,4.534570217132568,8
134,4.296772480010986,4.296772480010986,11
135,4.857903480529785,4.857903480529785,18
136,4.517082691192627,4.517082691192627,14
137,4.8052144050598145,4.8052144050598145,11
138,4.506083965301514,4.506083965301514,12
139,4.549963474273682,4.549963474273682,7
140,4.605590343475342,4.605590343475342,20
141,4.358504295349121,4.358504295349121,4
142,4.359245300292969,4.359245300292969,4
143,4.610032081604004,4.610032081604004,5
144,4.6797356605529785,4.6797356605529785,20
145,4.665788650512695,4.665788650512695,17
146,4.430959224700928,4.430959224700928,6
147,4.523236274719238,4.523236274719238,20
148,4.44897985458374,4.44897985458374,9
149,4.569410800933838,4.569410800933838,3
150,4.660826206207275,4.660826206207275,10
151,4.626469135284424,4.626469135284424,8
152,4.627490043640137,4.627490043640137,7
153,4.484392166137695,4.484392166137695,17
154,4.258428573608398,4.258428573608398,5
155,4.7347187995910645,4.7347187995910645,6
156,4.884722709655762,4.884722709655762,20
157,4.651862621307373,4.651862621307373,6
158,4.384153366088867,4.384153366088867,5
159,4.2775492668151855,4.2775492668151855,4
160,4.8001322746276855,4.8001322746276855,20
161,4.475383758544922,4.475383758544922,5
162,4.367042064666748,4.367042064666748,13
163,4.641880512237549,4.641880512237549,11
164,4.488936424255371,4.488936424255371,4
165,4.453590393066406,4.453590393066406,7
166,4.335041522979736,4.335041522979736,19
167,4.4129462242126465,4.4129462242126465,7
168,4.713673114776611,4.713673114776611,12
169,4.48123025894165,4.48123025894165,10
170,4.314581394195557,4.314581394195557,8
171,4.446597576141357,4.446597576141357,20
172,4.429111957550049,4.429111957550049,5
173,4.373085021972656,4.373085021972656,20
174,4.667561054229736,4.667561054229736,15
175,4.877692699432373,4.877692699432373,19
176,4.7899580001831055,4.7899580001831055,20
177,4.659877777099609,4.659877777099609,15
178,4.532601356506348,4.532601356506348,20
179,4.8305888175964355,4.8305888175964355,16
180,4.61558723449707,4.61558723449707,16
181,4.815217018127441,4.815217018127441,14
182,4.703433990478516,4.703433990478516,20
183,4.541099548339844,4.541099548339844,7
184,4.775453090667725,4.775453090667725,18
185,4.632393836975098,4.632393836975098,9
186,4.821169853210449,4.821169853210449,20
187,4.410679340362549,4.410679340362549,15
188,4.739043235778809,4.739043235778809,20
189,4.499313831329346,4.499313831329346,7
190,4.489167213439941,4.489167213439941,18
191,3.9901163578033447,3.9901163578033447,4
192,4.575052738189697,4.575052738189697,19
193,4.635685920715332,4.635685920715332,20
194,4.5420355796813965,4.5420355796813965,10
195,4.748805522918701,4.748805522918701,14
196,4.166274547576904,4.166274547576904,3
197,4.743671894073486,4.743671894073486,14
198,4.828463554382324,4.828463554382324,20
199,4.792733669281006,4.792733669281006,20
200,4.831287384033203,4.831287384033203,17
201,4.357549667358398,4.357549667358398,5
202,4.2670512199401855,4.2670512199401855,9
203,4.162948131561279,4.162948131561279,3
204,4.7427802085876465,4.7427802085876465,20
205,4.751905918121338,4.751905918121338,19
206,4.382869243621826,4.382869243621826,15
207,4.55771541595459,4.55771541595459,20
208,4.726057529449463,4.726057529449463,17
209,4.79213285446167,4.79213285446167,18
210,4.431215763092041,4.431215763092041,3
211,4.872371196746826,4.872371196746826,16
212,4.676401615142822,4.676401615142822,20
213,4.699841022491455,4.699841022491455,20
214,4.818831920623779,4.818831920623779,20
215,4.534939289093018,4.534939289093018,7
216,4.688070297241211,4.688070297241211,18
217,4.34341287612915,4.34341287612915,6
218,4.865888595581055,4.865888595581055,19
219,4.8476433753967285,4.8476433753967285,19
220,4.629868984222412,4.629868984222412,20
221,4.452835559844971,4.452835559844971,17
222,4.867780685424805,4.867780685424805,18
223,4.6106343269348145,4.6106343269348145,10
224,4.684539318084717,4.684539318084717,17
225,4.537717819213867,4.537717819213867,5
226,4.68993616104126,4.68993616104126,9
227,4.7626190185546875,4.7626190185546875,13
228,4.550022602081299,4.550022602081299,8
229,4.454613208770752,4.454613208770752,6
230,4.69070291519165,4.69070291519165,15
231,4.886329174041748,4.886329174041748,20
232,4.7107744216918945,4.7107744216918945,18
233,4.808610439300537,4.808610439300537,20
234,4.589804172515869,4.589804172515869,17
235,4.8293538093566895,4.8293538093566895,20
236,4.558790683746338,4.558790683746338,20
237,4.833972930908203,4.833972930908203,16
238,4.3855462074279785,4.3855462074279785,6
239,4.656171798706055,4.656171798706055,9
240,4.525684833526611,4.525684833526611,16
241,4.625802040100098,4.625802040100098,19
242,4.736966133117676,4.736966133117676,11
243,4.530860900878906,4.530860900878906,13
244,4.624152183532715,4.624152183532715,16
245,4.632354736328125,4.632354736328125,20
246,4.4652886390686035,4.4652886390686035,7
247,4.185115337371826,4.185115337371826,6
248,4.7564496994018555,4.7564496994018555,12
249,4.309798717498779,4.309798717498779,5
250,4.81581974029541,4.81581974029541,11
251,4.020666122436523,4.020666122436523,9
252,4.250293731689453,4.250293731689453,8
253,4.605149745941162,4.605149745941162,20
254,4.766687393188477,4.766687393188477,11
255,4.808735370635986,4.808735370635986,17
256,4.806028366088867,4.806028366088867,16
257,4.910556793212891,4.910556793212891,20
258,4.633274555206299,4.633274555206299,13
259,4.497424125671387,4.497424125671387,16
260,4.35432767868042,4.35432767868042,8
261,4.445196628570557,4.445196628570557,10
262,4.362816333770752,4.362816333770752,15
263,4.80978536605835,4.80978536605835,18
264,4.173315048217773,4.173315048217773,3
265,4.4489850997924805,4.4489850997924805,6
266,4.388894557952881,4.388894557952881,14
267,4.743992805480957,4.743992805480957,10
268,4.663043975830078,4.663043975830078,17
269,4.655060291290283,4.655060291290283,11
270,4.555257320404053,4.555257320404053,14
271,4.911502838134766,4.911502838134766,20
272,4.732778549194336,4.732778549194336,10
273,4.752180576324463,4.752180576324463,20
274,4.360047817230225,4.360047817230225,5
275,4.548443794250488,4.548443794250488,17
276,4.818330764770508,4.818330764770508,16
277,4.694805145263672,4.694805145263672,17
278,4.841690540313721,4.841690540313721,12
279,4.5761399269104,4.5761399269104,20
280,4.73838996887207,4.73838996887207,13
281,4.6240925788879395,4.6240925788879395,20
282,4.365078926086426,4.365078926086426,3
283,4.768040657043457,4.768040657043457,10
284,4.878512859344482,4.878512859344482,18
285,4.650489807128906,4.650489807128906,15
286,4.524698734283447,4.524698734283447,8
287,4.561633586883545,4.561633586883545,14
288,4.332215785980225,4.332215785980225,18
289,4.605483055114746,4.605483055114746,15
290,4.448847770690918,4.448847770690918,13
291,4.251016139984131,4.251016139984131,5
292,4.671404838562012,4.671404838562012,9
293,4.382592678070068,4.382592678070068,19
294,4.7500901222229,4.7500901222229,20
295,4.687711238861084,4.687711238861084,10
296,4.534704208374023,4.534704208374023,6
297,4.392062664031982,4.392062664031982,12
298,4.840961456298828,4.840961456298828,11
299,4.755185127258301,4.755185127258301,18
300,4.287173748016357,4.287173748016357,11
301,4.080233573913574,4.080233573913574,20
302,4.5854105949401855,4.5854105949401855,16
303,4.726419448852539,4.726419448852539,11
304,4.337608337402344,4.337608337402344,9
305,4.554222583770752,4.554222583770752,20
306,4.6105170249938965,4.6105170249938965,15
307,4.856677055358887,4.856677055358887,20
308,4.6423420906066895,4.6423420906066895,8
309,4.6183648109436035,4.6183648109436035,10
310,4.684847354888916,4.684847354888916,20
311,4.5972580909729,4.5972580909729,14
312,4.593461990356445,4.593461990356445,14
313,4.3590779304504395,4.3590779304504395,14
314,4.609151363372803,4.609151363372803,20
315,4.806850433349609,4.806850433349609,20
316,4.345366954803467,4.345366954803467,4
317,4.747514724731445,4.747514724731445,20
318,4.735114574432373,4.735114574432373,13
319,4.647866249084473,4.647866249084473,20
320,4.602318286895752,4.602318286895752,7
321,4.746001243591309,4.746001243591309,17
