	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.041483585	0.025033835	0.028309882	0.031986576	0.047623985	0.04586372	0.043381754	0.048012994	0.030692399	0.036280032	0.03292357	0.023330152	0.026744125	0.030303385	0.027662035	0.035558466	0.045066956	0.036532875	0.02812933	0.032906998	0.03994613	0.032270588	0.037143275	0.04339039	0.033801273	0.04131915	0.024901073	0.0494015
anger	0.04175139	0.025473746	0.024767594	0.034012187	0.046123818	0.045176942	0.042171877	0.046619166	0.031601854	0.036293194	0.0333183	0.023645125	0.027399978	0.03064935	0.027444622	0.03482273	0.043539904	0.036512084	0.03162235	0.034704242	0.040774994	0.033016033	0.0398353	0.04301728	0.034088004	0.040338363	0.022934366	0.048345257
fear	0.04139755	0.025023444	0.027085356	0.033665247	0.046701934	0.044559587	0.043351028	0.047136202	0.02983782	0.03734061	0.035085097	0.024432879	0.024403088	0.030399917	0.027581235	0.035902537	0.04509077	0.03646373	0.02976574	0.032225814	0.041344184	0.03193613	0.036820322	0.04396862	0.034109525	0.042366654	0.023887658	0.048117325
depression	0.041353453	0.025517741	0.026796404	0.034784492	0.04815334	0.04582802	0.042910945	0.048523366	0.029397354	0.039393988	0.032929435	0.02321102	0.026978461	0.030637732	0.026991865	0.035839424	0.045116812	0.037350055	0.027773686	0.032539725	0.041496783	0.028036717	0.036886383	0.042921633	0.03317156	0.041307997	0.023751428	0.0504001
sadness	0.04205646	0.02599571	0.025590204	0.033603203	0.046811122	0.045329932	0.042953912	0.048647493	0.031240974	0.03912289	0.034737058	0.022265656	0.024147017	0.028770145	0.027424298	0.03619591	0.045889113	0.037034832	0.029144896	0.032166682	0.041742492	0.031573918	0.037294425	0.041004747	0.034832347	0.040765632	0.023950651	0.049708314
disgust	0.042087376	0.02669952	0.025163218	0.035520453	0.045917954	0.04447142	0.04197784	0.046195976	0.031389296	0.038217843	0.032658953	0.024414537	0.025076758	0.03147269	0.028565211	0.03544879	0.04347745	0.036129843	0.030296937	0.03467298	0.04116191	0.030094048	0.038102023	0.042932343	0.035380684	0.04016806	0.024398187	0.04790776
shame	0.041830756	0.026671553	0.02592904	0.035888437	0.046212073	0.044875562	0.043172535	0.046040937	0.030247124	0.037749358	0.03447903	0.023406642	0.022936465	0.028626552	0.028548775	0.03660646	0.043892648	0.036016148	0.030270165	0.03411093	0.041625388	0.031434253	0.037941374	0.04272354	0.035341296	0.040293712	0.025686743	0.047442578
nervousness	0.041500404	0.026090795	0.028949076	0.034287218	0.045707	0.044248957	0.042844336	0.04566872	0.031543337	0.03676563	0.03474408	0.024262452	0.02411779	0.030081647	0.029750187	0.036297057	0.042969	0.036501504	0.029514221	0.03174201	0.041513912	0.031044671	0.038553726	0.042005595	0.03567999	0.041087996	0.025133673	0.04739505
pain	0.042027246	0.027125305	0.027323337	0.035094783	0.045601025	0.04405228	0.041825652	0.04546293	0.03138354	0.03710506	0.034410723	0.023644732	0.023901206	0.031178443	0.029237652	0.03660024	0.04368334	0.037287988	0.030814216	0.032311868	0.04155782	0.030723829	0.03849737	0.042229533	0.035706267	0.039986692	0.024726154	0.046500787
jealousy	0.042099424	0.026292494	0.028086	0.035577767	0.04583065	0.04414964	0.042128686	0.045488503	0.031011254	0.037768394	0.034616817	0.023290457	0.024712546	0.029188363	0.0290289	0.036319856	0.043860883	0.03679971	0.029556325	0.033822462	0.0414875	0.029633649	0.038571727	0.042436652	0.035296407	0.04052665	0.025396733	0.047021553
guilt	0.042194176	0.026435414	0.026376113	0.035748232	0.045675524	0.044390764	0.042391762	0.0457536	0.031441487	0.037519284	0.035429712	0.021868471	0.023436697	0.030465042	0.028892897	0.03585057	0.04409467	0.036772467	0.02885698	0.034384843	0.041302837	0.03167377	0.038377695	0.0422725	0.035594843	0.040537965	0.025176035	0.047085654
