	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.041851737	0.025622461	0.028758025	0.032033518	0.048751064	0.046805713	0.04268698	0.048559684	0.030353064	0.03704204	0.033220284	0.02157528	0.02341598	0.031150097	0.027973207	0.0359798	0.044683263	0.036378864	0.028021276	0.033346396	0.0414466	0.031139588	0.0377033	0.044342622	0.032178525	0.039921522	0.024382593	0.050676484
anger	0.042122584	0.025773352	0.025386862	0.034262042	0.046271507	0.045329448	0.04229343	0.046398494	0.03067872	0.038460284	0.0321634	0.024914593	0.023699585	0.03168164	0.02676234	0.037210293	0.0432913	0.037897922	0.031752	0.03308972	0.04219584	0.030988408	0.03983256	0.04336153	0.031249078	0.04028499	0.023775907	0.04887222
fear	0.041910548	0.025742836	0.028494444	0.03358899	0.047781844	0.045744374	0.042448904	0.047151677	0.031010408	0.03734558	0.03476352	0.022169335	0.022328759	0.029408377	0.027413126	0.03576429	0.045497216	0.03793104	0.029472835	0.033645544	0.042508174	0.031089421	0.03717717	0.045142386	0.031254217	0.040871695	0.02349217	0.048851173
depression	0.04133649	0.026419789	0.025508873	0.035456512	0.048163187	0.046339564	0.04199795	0.04808995	0.030457517	0.03741012	0.033058777	0.02435969	0.024965294	0.029350497	0.02705216	0.036559723	0.04420054	0.03734156	0.028293755	0.03239178	0.042157944	0.030934455	0.037683785	0.04210835	0.0334742	0.04040636	0.023888487	0.050592706
sadness	0.042002838	0.026154378	0.02897643	0.032133378	0.047189247	0.045716543	0.042384967	0.0482366	0.030873872	0.038653646	0.034797996	0.024195615	0.022443807	0.029973349	0.026143061	0.036635708	0.04498338	0.037332725	0.0290689	0.03261967	0.041954335	0.03051543	0.03877738	0.041938126	0.031948797	0.03981661	0.024768017	0.04976515
disgust	0.041708075	0.027274948	0.026496658	0.03525538	0.046327975	0.044983845	0.04223488	0.046139844	0.030465974	0.038664795	0.035292577	0.024291746	0.023495598	0.03167055	0.02613685	0.0359193	0.043591462	0.03733892	0.030510932	0.034671627	0.042092774	0.029600743	0.037723266	0.04311535	0.03131213	0.040355843	0.02500606	0.048321925
shame	0.04208601	0.027253646	0.024463836	0.035133347	0.047040053	0.045418296	0.04220137	0.046590574	0.03241106	0.037516575	0.03476655	0.022213109	0.022228383	0.029399129	0.0285624	0.03708667	0.04407431	0.03814539	0.03088109	0.034660567	0.04249276	0.0296551	0.035721187	0.044085078	0.03181821	0.04029792	0.025758307	0.048039086
nervousness	0.041591164	0.027055398	0.029069828	0.034463108	0.046342403	0.044591207	0.042298947	0.045512285	0.032358788	0.036939166	0.0353535	0.025055584	0.022041216	0.029854879	0.029102594	0.03669384	0.04268147	0.037744403	0.030247612	0.032433957	0.04248436	0.03016429	0.03822287	0.04331455	0.032753836	0.039091267	0.024823435	0.04771413
pain	0.041970327	0.027918136	0.028161194	0.03515298	0.04623456	0.044300955	0.04155918	0.04532925	0.031697486	0.037397124	0.034856293	0.023885373	0.021868018	0.031421516	0.029015202	0.03614357	0.043542974	0.0376905	0.031025963	0.03268859	0.04254303	0.030137502	0.03792791	0.042756736	0.03268145	0.039580345	0.025118442	0.047395397
jealousy	0.041583333	0.02712564	0.027751718	0.034686804	0.046153117	0.044122934	0.0416079	0.04546364	0.03131949	0.03844079	0.03582715	0.023462564	0.024320751	0.03010686	0.028895827	0.03625406	0.043406177	0.037801858	0.030747222	0.033505235	0.042045783	0.02906354	0.039063584	0.043096144	0.03186533	0.039423324	0.025257153	0.047602065
guilt	0.041627754	0.027133951	0.027854044	0.035321433	0.046136398	0.044597834	0.041748878	0.045476496	0.03196189	0.037937798	0.035489578	0.023803636	0.022245387	0.030433957	0.028761476	0.03682934	0.043316454	0.03781421	0.030592488	0.03423562	0.04197546	0.029582046	0.037520815	0.04278554	0.033231772	0.03946012	0.024687571	0.04743808
