	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.042232364	0.025825601	0.03243385	0.033542786	0.047803625	0.046816144	0.043365177	0.048663404	0.030678974	0.03591335	0.033418447	0.022560755	0.023724006	0.028148897	0.024824582	0.040262643	0.043332823	0.037141826	0.027628878	0.032548703	0.042550314	0.031261373	0.03781141	0.04487578	0.03075944	0.037634168	0.023706127	0.050534494
anger	0.042767465	0.02556662	0.026668765	0.034172267	0.04612835	0.045572713	0.042753596	0.048236758	0.0320975	0.036011893	0.032643974	0.023024702	0.022210654	0.029198632	0.026008088	0.040901467	0.042883396	0.037562232	0.02951504	0.03340583	0.04258973	0.03016661	0.0391899	0.043194577	0.03282362	0.03953075	0.02522581	0.049949117
fear	0.04311665	0.025973372	0.02949943	0.034831624	0.04810376	0.046575192	0.044195317	0.048874777	0.03006864	0.03567544	0.03364828	0.020154554	0.02146451	0.026852023	0.025991509	0.040290173	0.044095397	0.038790826	0.028344963	0.032552093	0.043048624	0.029401418	0.03726893	0.04501588	0.033851955	0.037414603	0.024997562	0.04990253
depression	0.04324529	0.02607031	0.026676057	0.03570483	0.047741126	0.047055013	0.043122444	0.04900145	0.03111985	0.03712552	0.03089579	0.025409175	0.023487769	0.027776802	0.02479066	0.040878862	0.043045375	0.038077798	0.029248757	0.03294073	0.042382207	0.030805692	0.032464158	0.043709993	0.03308941	0.0387461	0.024545139	0.050843716
sadness	0.042182993	0.025843691	0.031006513	0.03547467	0.04699815	0.044435233	0.042905398	0.049117275	0.028309688	0.038894933	0.034039877	0.023342287	0.021164896	0.028458696	0.024616428	0.039756283	0.04365104	0.036266785	0.027602643	0.033769954	0.041744016	0.031750455	0.03855068	0.041475307	0.03353501	0.03847204	0.026922371	0.049712643
disgust	0.043645825	0.025949514	0.026654428	0.035428125	0.04700371	0.04592799	0.04145929	0.048145104	0.031222934	0.037176073	0.033474363	0.022336414	0.021430204	0.02917736	0.026236016	0.04136337	0.04397359	0.038870282	0.02980173	0.03455596	0.043139163	0.02599161	0.037417237	0.044287883	0.031994022	0.038633898	0.024527328	0.050176613
shame	0.04350631	0.026022911	0.028949616	0.035539106	0.047853366	0.04629032	0.041491926	0.04893509	0.03142213	0.036494933	0.032386646	0.02303295	0.020986563	0.026628913	0.025533019	0.04103286	0.0429699	0.038651116	0.028483242	0.03257147	0.043997377	0.027087264	0.03839565	0.044957027	0.031939346	0.038391463	0.02668767	0.049761884
nervousness	0.04258411	0.026407082	0.030324025	0.036248796	0.046948154	0.04607779	0.043060027	0.047547873	0.0322007	0.036711406	0.033653855	0.022818508	0.021911835	0.028963637	0.027695695	0.04127085	0.03882191	0.037955415	0.02900499	0.030102609	0.04347856	0.028107904	0.037944928	0.0441172	0.03358524	0.038615886	0.02502573	0.048815317
pain	0.043037098	0.026332153	0.029593209	0.036872275	0.04688879	0.045225155	0.042246956	0.04730209	0.0322564	0.03619928	0.03337317	0.02375493	0.020396577	0.02734247	0.028273731	0.040987015	0.04397112	0.038530663	0.02910855	0.031122059	0.043198086	0.027488414	0.03648604	0.044031408	0.032873344	0.038193803	0.026206197	0.04870905
jealousy	0.042605363	0.026676992	0.029025013	0.036630396	0.04676288	0.045508157	0.041815583	0.04714789	0.030905386	0.03721935	0.033928007	0.021899195	0.022561667	0.02765527	0.026493097	0.040957663	0.043273386	0.038825218	0.02885495	0.033333477	0.043408073	0.027858244	0.038005162	0.04438178	0.032056745	0.038308468	0.025021031	0.048881616
guilt	0.043144424	0.026473613	0.028754415	0.036086228	0.046694614	0.046207916	0.04192011	0.047265623	0.03211913	0.03675887	0.034016598	0.022280047	0.021088764	0.028677963	0.025890628	0.041099064	0.04365488	0.038436446	0.029083008	0.033160187	0.04296851	0.027641919	0.036688026	0.043983333	0.0328637	0.03881857	0.02517317	0.04905019
