	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.042336136	0.025663495	0.02915167	0.032118417	0.04866994	0.046549574	0.043485835	0.04867417	0.03130258	0.036024857	0.032784086	0.022763643	0.02425338	0.029783031	0.028764848	0.03572643	0.04503737	0.036143493	0.028721586	0.03290994	0.04256719	0.031651862	0.03503177	0.043848027	0.03145555	0.03964643	0.024304645	0.050629992
anger	0.041943785	0.025538562	0.025829379	0.035226326	0.04754979	0.045672234	0.042152815	0.04757286	0.029413342	0.038008127	0.032927174	0.022718769	0.025200685	0.029328734	0.026593784	0.035148926	0.04373573	0.036797084	0.031780392	0.03392607	0.040984735	0.03319126	0.040384103	0.044507943	0.030990327	0.039923213	0.022980805	0.049973052
fear	0.042185266	0.025475608	0.0264765	0.033955693	0.047793064	0.045264356	0.042850576	0.047535982	0.03076598	0.0367667	0.035387043	0.02372993	0.023107508	0.029880846	0.026783733	0.03569754	0.046073016	0.037397128	0.030529287	0.032778006	0.04220907	0.031409167	0.036926724	0.044056952	0.031101612	0.040104188	0.02398626	0.04977228
depression	0.042111527	0.026510024	0.025591793	0.033867463	0.048692197	0.04645401	0.041441567	0.048525885	0.030205777	0.037144605	0.033965617	0.024108438	0.022382239	0.030539628	0.026548114	0.036085937	0.044806175	0.03787131	0.028667988	0.03272426	0.042892627	0.03097267	0.03864152	0.04241108	0.032058112	0.040738653	0.023487229	0.050553586
sadness	0.0421786	0.02607202	0.02805984	0.033730105	0.047668353	0.045882408	0.042607706	0.04878184	0.030167969	0.039007552	0.034417443	0.023989225	0.021633176	0.028744115	0.026999507	0.036178	0.04587199	0.036988113	0.028402034	0.033014312	0.041931756	0.029341737	0.038583007	0.041800816	0.03273041	0.03986563	0.024682408	0.050669942
disgust	0.0423619	0.026858734	0.026428837	0.034854494	0.04789563	0.045379195	0.042569123	0.047594957	0.031005325	0.03846071	0.034685943	0.022134373	0.02372377	0.029277269	0.02721364	0.035661075	0.0447022	0.0358314	0.030278211	0.03503747	0.0425761	0.028322795	0.038199365	0.044395875	0.03175091	0.039483476	0.023809358	0.049507935
shame	0.04225632	0.026901335	0.027516203	0.03411636	0.04763425	0.044573322	0.042222023	0.047212955	0.030562561	0.03827039	0.03485609	0.02294839	0.022696398	0.026993938	0.028340492	0.036094155	0.04497597	0.036825538	0.030884469	0.033926856	0.04283615	0.030137992	0.03820069	0.043826967	0.032233037	0.039986845	0.02415547	0.0488148
nervousness	0.041838508	0.026175812	0.028617686	0.03546288	0.047401477	0.045003917	0.042866558	0.04661951	0.031635493	0.03735481	0.03436717	0.02426412	0.02283887	0.028328389	0.029325431	0.035696723	0.04390412	0.036791816	0.030390976	0.033214528	0.042428445	0.030574836	0.037925735	0.043062184	0.03164612	0.03986784	0.023842985	0.048553124
pain	0.042484663	0.026861621	0.027228242	0.035306323	0.047541603	0.044548605	0.04181619	0.04666083	0.030750554	0.038275503	0.03372895	0.02225413	0.021902468	0.03028358	0.028735438	0.035795625	0.04454383	0.036978193	0.031141926	0.034526296	0.04290777	0.030100292	0.038642194	0.043043222	0.031648777	0.039764464	0.024087097	0.048441626
jealousy	0.042670026	0.025919598	0.02694436	0.03469149	0.047434065	0.044784572	0.04169683	0.04682167	0.031102829	0.038379323	0.034112874	0.022328772	0.023556272	0.028964873	0.028656537	0.036526024	0.04465996	0.03729072	0.03090883	0.034353636	0.042594515	0.029813217	0.03869207	0.04361596	0.03172684	0.039571874	0.023673842	0.048508406
guilt	0.042648576	0.026127767	0.027311008	0.035004023	0.04732701	0.044560075	0.041898996	0.04668424	0.031148816	0.038588986	0.034818016	0.023380158	0.022030389	0.028846411	0.028776076	0.035754465	0.044358287	0.0372487	0.030649284	0.034983244	0.042678755	0.030197911	0.03828504	0.043194942	0.032167546	0.03955062	0.023383742	0.048396915
