	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.03982338	0.024570992	0.027036034	0.032640968	0.046961326	0.045419637	0.04498506	0.051149894	0.032505997	0.03778625	0.033073038	0.020644555	0.029597161	0.032736003	0.027812043	0.03351707	0.045270998	0.034813102	0.02613453	0.031343136	0.039789766	0.032218806	0.037440047	0.042450458	0.033803903	0.041045323	0.025350258	0.05008028
anger	0.039940175	0.024792548	0.025031637	0.033636387	0.04656421	0.044388488	0.04572399	0.050813727	0.030068927	0.037109237	0.03272078	0.022142569	0.027989008	0.03273184	0.025934367	0.032597933	0.04526717	0.0327008	0.02941889	0.03476966	0.038641054	0.033598557	0.040725723	0.043341823	0.033323783	0.04141309	0.024327476	0.05028614
fear	0.039197788	0.02633316	0.029286053	0.03502942	0.046199344	0.04421608	0.045132972	0.050358504	0.033332054	0.036566537	0.031191336	0.024443628	0.026443383	0.028515393	0.027816508	0.03206073	0.04659916	0.032995746	0.029535238	0.033614047	0.039542984	0.03392846	0.0362015	0.040504955	0.03454994	0.04150634	0.025232548	0.049666155
depression	0.038822394	0.026254551	0.029041614	0.034178704	0.045988273	0.044042587	0.04611205	0.05030508	0.030776585	0.03959493	0.03204925	0.022155117	0.030602269	0.02965528	0.02845827	0.03175967	0.04558305	0.03348452	0.029417692	0.03479358	0.039705545	0.02791101	0.036229335	0.04334751	0.034872852	0.040822003	0.024258068	0.049778227
sadness	0.039454278	0.028125709	0.025173036	0.034633163	0.04489719	0.042808115	0.044701137	0.0511113	0.03259217	0.03714407	0.034037333	0.022339232	0.022570707	0.029941907	0.027163826	0.032440018	0.046053905	0.035813574	0.029345922	0.035454206	0.04096925	0.03459596	0.03923612	0.03929543	0.03492811	0.04006828	0.024997309	0.05010873
disgust	0.039059408	0.027292317	0.02606575	0.036516633	0.04496248	0.043097597	0.045262918	0.04961799	0.030973956	0.037876237	0.033260446	0.022761526	0.024752956	0.030707404	0.028218618	0.03250885	0.045087952	0.033050098	0.029228507	0.035392962	0.040438488	0.033327445	0.03613548	0.043307338	0.035799973	0.04103435	0.02570646	0.048555873
shame	0.039254237	0.027023312	0.026546944	0.03588836	0.046733588	0.042209033	0.04669098	0.0503152	0.028922327	0.037960026	0.034297034	0.02296306	0.025045868	0.027148848	0.029278085	0.03324866	0.04551518	0.03405428	0.028922126	0.03459117	0.04061007	0.031572554	0.03797697	0.043859962	0.03456893	0.041610334	0.024406914	0.04878595
nervousness	0.039527822	0.02690194	0.027982807	0.03524871	0.045281384	0.043428004	0.045560505	0.048993792	0.033091515	0.037345696	0.034889624	0.023191324	0.025418326	0.030166881	0.029135283	0.03252692	0.044921115	0.033316102	0.026637582	0.031932853	0.04068729	0.033951048	0.036586884	0.043157235	0.034883276	0.041327063	0.02590066	0.048008382
pain	0.040052425	0.027464885	0.02730512	0.03457378	0.04561467	0.04185633	0.044801638	0.048826262	0.032948215	0.036177993	0.033917543	0.02232966	0.02581619	0.029019598	0.029513502	0.032631144	0.044830423	0.03440904	0.029756637	0.03293143	0.041068494	0.03323802	0.03808984	0.04256656	0.035420436	0.041432954	0.026025949	0.047381278
jealousy	0.039976552	0.026449786	0.027354356	0.036135875	0.045783054	0.043302767	0.045154516	0.049186148	0.030009901	0.037593614	0.033792764	0.021073595	0.02605488	0.03020869	0.029071879	0.033335228	0.044533577	0.03373297	0.027784726	0.03353993	0.04011761	0.033022452	0.038941298	0.042499535	0.035997372	0.041286305	0.026287826	0.047772758
guilt	0.039682664	0.027540814	0.028468981	0.035396162	0.045954958	0.043123104	0.04536099	0.048632823	0.030301724	0.036506742	0.034406856	0.02152515	0.02559094	0.03096294	0.030359115	0.032714643	0.044946607	0.032919656	0.028387308	0.032769527	0.040088233	0.0339992	0.037628647	0.042906005	0.035209123	0.04130437	0.025669867	0.047642857
