	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.043092694	0.031276762	0.027515313	0.034937732	0.04743862	0.045220975	0.041659206	0.048862793	0.032259237	0.03700486	0.035233818	0.027302949	0.025746476	0.03158453	0.034362882	0.038574643	0.025573878	0.038336344	0.033216868	0.034915667	0.042335805	0.02603271	0.034865767	0.027777795	0.0361807	0.04075225	0.029283062	0.04865567
anger	0.042436343	0.030518949	0.02870248	0.035449453	0.046641883	0.04610033	0.04151489	0.048421413	0.030844385	0.037708484	0.0372972	0.028438246	0.02561405	0.029752553	0.03328108	0.037421513	0.025601268	0.038403824	0.033918116	0.03295057	0.041463137	0.026313322	0.03516727	0.027509838	0.036286045	0.04322358	0.029659178	0.04936065
fear	0.04303571	0.030825742	0.027896851	0.035560083	0.046814695	0.045658916	0.041685216	0.04764542	0.03213905	0.036726844	0.03594918	0.028151162	0.025506124	0.03070758	0.03389579	0.038331248	0.02563958	0.039114114	0.033263285	0.035063338	0.04064016	0.025716428	0.03485298	0.027458394	0.037444733	0.04288651	0.029197559	0.04819332
depression	0.042849034	0.030813923	0.028464945	0.034938056	0.046344418	0.04489901	0.040973164	0.047813114	0.031582914	0.03881014	0.035833903	0.027696185	0.025551641	0.0305396	0.03376339	0.036907844	0.02604819	0.03945781	0.033731483	0.03329711	0.041381057	0.025524812	0.03494405	0.027683005	0.037993047	0.044544518	0.029589718	0.04802396
sadness	0.042924974	0.030421665	0.028077994	0.035954658	0.046494026	0.04570758	0.04180972	0.047761276	0.03049562	0.03799706	0.03602587	0.028129136	0.025321437	0.030368686	0.032727245	0.037433926	0.025689146	0.03934654	0.03413524	0.03327839	0.041146327	0.02637092	0.034607362	0.027306085	0.038445856	0.043783087	0.029504865	0.04873529
disgust	0.041919373	0.03110615	0.02931302	0.03641262	0.04529196	0.044708002	0.04104096	0.048481267	0.031129476	0.03745309	0.036296006	0.028877275	0.026270768	0.030645985	0.03322315	0.03750319	0.027321441	0.0369185	0.034314632	0.033428237	0.0402868	0.026940336	0.034044433	0.027780568	0.037477396	0.04290102	0.030114219	0.04880014
shame	0.041822355	0.03085992	0.028497726	0.03579941	0.045983855	0.045707755	0.042043462	0.048698526	0.031580064	0.037511833	0.035932537	0.028949274	0.025982128	0.030111097	0.034147363	0.037586525	0.026462385	0.03627323	0.034222495	0.033738036	0.04105908	0.026476532	0.034468986	0.027527714	0.03695521	0.04307853	0.030007077	0.04851687
nervousness	0.04229171	0.030184913	0.028440695	0.03575424	0.045498423	0.045372993	0.042502314	0.048646577	0.031843435	0.036791924	0.036239892	0.028642299	0.025867613	0.030076215	0.03425145	0.037093088	0.026425643	0.038834807	0.033975516	0.034201216	0.041482296	0.026096143	0.03450687	0.027432071	0.03627131	0.043037534	0.029636009	0.048602697
pain	0.04294163	0.030740172	0.028724859	0.035940174	0.04619234	0.043518316	0.041576892	0.048375946	0.03136116	0.03730331	0.036004897	0.028314527	0.026531316	0.030205825	0.03399728	0.037741344	0.026425205	0.03867382	0.033921555	0.034185816	0.04035368	0.026307652	0.03376982	0.02777636	0.03757735	0.04368188	0.029550089	0.048306804
jealousy	0.042809952	0.031014988	0.028053166	0.0359693	0.04632066	0.044772696	0.04207835	0.0472244	0.031300854	0.037964635	0.03657606	0.02800778	0.02565724	0.0307493	0.03320614	0.03770465	0.025958301	0.03907316	0.03405205	0.03415425	0.04073059	0.026078094	0.03454295	0.027248878	0.038365576	0.043179616	0.029423628	0.047782723
guilt	0.04209072	0.031259604	0.028420527	0.0354628	0.045315858	0.044512074	0.042149544	0.047737647	0.032275304	0.03828913	0.036389608	0.027924743	0.025640514	0.030676391	0.034490574	0.038289268	0.026371865	0.03879785	0.034112513	0.034539126	0.039678007	0.025653536	0.034040432	0.027578345	0.037403986	0.043233953	0.029190164	0.048475973
