	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.042779975	0.031424105	0.027548444	0.03553121	0.04702743	0.045977432	0.04272351	0.048025	0.031862885	0.03622	0.035591234	0.026495038	0.025562337	0.031041412	0.033651635	0.038822018	0.02554288	0.038718257	0.0331142	0.03598116	0.042396452	0.025819318	0.03506101	0.02749117	0.037116326	0.041616764	0.02895315	0.047905657
anger	0.042247143	0.029909113	0.029110417	0.036906935	0.045990307	0.0458924	0.04333152	0.04828869	0.030779172	0.037749942	0.037176784	0.028193895	0.025773317	0.029798415	0.03318324	0.03754493	0.025342727	0.038122285	0.033293117	0.03385055	0.040960897	0.025565265	0.035028916	0.026794087	0.037346296	0.04319777	0.029498817	0.049123075
fear	0.042560242	0.030539187	0.028146857	0.035960846	0.04639383	0.044725787	0.04296496	0.047527906	0.03139737	0.037971295	0.035936017	0.027767396	0.025408024	0.030491078	0.034007713	0.038087893	0.025581665	0.03872357	0.032218255	0.03572146	0.04211157	0.025032226	0.035214245	0.02672301	0.039196603	0.042151727	0.029720264	0.047719024
depression	0.042485114	0.030270858	0.028929343	0.035222642	0.045363717	0.04643106	0.042925857	0.048242066	0.031283375	0.03826076	0.03620016	0.027335491	0.025443977	0.030583372	0.032950662	0.037328355	0.025555715	0.038400367	0.03346809	0.034027006	0.04136974	0.025092904	0.035072476	0.027514366	0.038599283	0.043893788	0.029970108	0.04777935
sadness	0.042311177	0.02952209	0.028737077	0.035823435	0.046397086	0.045871455	0.04286491	0.048325345	0.03037633	0.037246086	0.0363717	0.027618837	0.026298463	0.030485593	0.0323958	0.038472958	0.025629332	0.039061505	0.03404229	0.033293605	0.04095222	0.025711844	0.034248497	0.026889572	0.038881015	0.04343114	0.029891536	0.048849147
disgust	0.04178021	0.030607982	0.029195448	0.036447395	0.04403397	0.044020806	0.04198442	0.048366014	0.031118399	0.038189463	0.036298674	0.028013827	0.02657651	0.030594878	0.03312597	0.03832342	0.026577218	0.03807337	0.03364981	0.034079194	0.04007541	0.026029969	0.034388244	0.027460292	0.03869258	0.043282624	0.030332424	0.048681512
shame	0.042217057	0.030412296	0.028268218	0.03623272	0.04540656	0.045166302	0.04219852	0.04836898	0.030825451	0.037725855	0.035690285	0.027935378	0.025518928	0.03013253	0.033773016	0.037717674	0.025791863	0.03892185	0.03414388	0.035052642	0.041712914	0.025260136	0.034470264	0.027051184	0.038373653	0.043545175	0.030158408	0.04792828
nervousness	0.04178413	0.029666392	0.028172541	0.036748517	0.04528431	0.0450297	0.043079004	0.048230994	0.031609334	0.037640497	0.036293782	0.027348066	0.025643522	0.030110886	0.034137834	0.03759509	0.025616076	0.038733702	0.03364886	0.035406593	0.041209277	0.025468633	0.034441438	0.027117766	0.03814831	0.04352371	0.030017734	0.04829336
pain	0.04268764	0.030304901	0.028629372	0.036198147	0.045500822	0.04527673	0.042331014	0.048125476	0.030843263	0.03822526	0.036165282	0.027583087	0.025643807	0.030448966	0.03369197	0.038014397	0.025871728	0.03873769	0.0333183	0.03548856	0.040738747	0.02516959	0.034242187	0.027075533	0.038763203	0.043498766	0.029824037	0.047601536
jealousy	0.042043567	0.029856378	0.029134287	0.03647549	0.04531318	0.04587696	0.041505337	0.047747124	0.030802203	0.03733078	0.036401246	0.027690597	0.026429009	0.03013875	0.033920355	0.038641587	0.02640173	0.038927726	0.03344587	0.035293914	0.04090808	0.025821632	0.03348079	0.027351381	0.037499648	0.04405221	0.029864263	0.047645926
guilt	0.041798953	0.030287346	0.028474942	0.03600424	0.046044137	0.044892143	0.042938717	0.04826772	0.03137475	0.03823577	0.03623501	0.027412193	0.025757711	0.030755369	0.034083698	0.038027544	0.02619892	0.038474325	0.033751074	0.034910236	0.040684413	0.025212435	0.033765726	0.027177742	0.038137596	0.043208536	0.029543117	0.048345704
