	admiration	amusement	anger	annoyance	approval	caring	confusion	curiosity	desire	disappointment	disapproval	disgust	embarrassment	excitement	fear	gratitude	grief	joy	love	nervousness	optimism	pride	realization	relief	remorse	sadness	surprise	neutral
anxiety	0.044372592	0.030871704	0.026892643	0.03520675	0.04865096	0.04633282	0.041314885	0.04853418	0.031838555	0.03603854	0.035587557	0.026238073	0.025722956	0.031287048	0.0335819	0.03897894	0.025780754	0.03874407	0.033406507	0.035051513	0.043278858	0.026352841	0.03442976	0.028376354	0.03471481	0.040376518	0.02904356	0.048994284
anger	0.04185868	0.03036131	0.02811501	0.036820583	0.047319163	0.045974627	0.04228475	0.047283776	0.030917794	0.037669826	0.037223652	0.027658468	0.025716303	0.030264394	0.033568025	0.037781134	0.025663054	0.03887362	0.033391815	0.03341129	0.0420945	0.025688829	0.036134146	0.027348071	0.035840422	0.04267866	0.0293035	0.048754655
fear	0.04320386	0.03142089	0.02727567	0.034722276	0.047406632	0.04528675	0.041784763	0.04720617	0.03191838	0.037393164	0.036223445	0.027744297	0.026107723	0.030906266	0.034202237	0.036771245	0.02601344	0.039327286	0.03322794	0.034580976	0.042294238	0.025567656	0.03561991	0.027803436	0.036832474	0.04178558	0.029531507	0.047841866
depression	0.042089496	0.030571902	0.027656654	0.034935653	0.04680675	0.046620965	0.041842904	0.04775731	0.031798977	0.03727466	0.036122613	0.026595507	0.025706375	0.031118967	0.03322003	0.037611265	0.026613263	0.03888165	0.03329915	0.03386289	0.04292868	0.025942657	0.03546632	0.028428555	0.03562306	0.0434287	0.029707316	0.048087787
sadness	0.04241492	0.030311951	0.028089963	0.03580451	0.047380492	0.0463103	0.04149156	0.048062358	0.0315588	0.037248	0.035849456	0.027575595	0.026240734	0.030958692	0.03208067	0.03851451	0.026464922	0.03995629	0.03378086	0.033539698	0.040679052	0.026513882	0.034001555	0.027878786	0.036362305	0.043136846	0.029490096	0.048303258
disgust	0.04261922	0.031558387	0.028510742	0.03560889	0.045520224	0.04410973	0.0415912	0.047787704	0.031624056	0.037522916	0.036481887	0.028074838	0.026412427	0.030932752	0.032653093	0.03751155	0.027219743	0.039225515	0.033460863	0.034072246	0.04124741	0.026739176	0.034116276	0.028062794	0.036582254	0.04245674	0.030078778	0.048218597
shame	0.042961612	0.031325676	0.027353957	0.035831828	0.046712577	0.046072364	0.041932825	0.04769313	0.031447034	0.03772993	0.03570618	0.027402764	0.025664113	0.030993259	0.03383367	0.036492344	0.026172375	0.03886891	0.033545982	0.033909675	0.041250806	0.026184287	0.035464857	0.027935505	0.037268363	0.04264402	0.02981924	0.047782715
nervousness	0.042732883	0.030949686	0.02737474	0.035622083	0.04690001	0.045387648	0.04241719	0.047498856	0.03156625	0.037697166	0.036363915	0.02699835	0.02563056	0.031118264	0.034171794	0.03700109	0.026254259	0.03848529	0.033849876	0.03422906	0.04288008	0.026184887	0.034627512	0.027604498	0.036317024	0.041807447	0.030007519	0.048322063
pain	0.04310708	0.031248402	0.02767104	0.035855047	0.046764616	0.045168363	0.041914184	0.047879856	0.031505134	0.037926618	0.036273386	0.027337248	0.025868163	0.030742077	0.0341656	0.037245046	0.026226476	0.03787505	0.033332113	0.03448579	0.041985437	0.025977535	0.035122387	0.027847154	0.03672842	0.042383377	0.029731993	0.047632396
jealousy	0.041663896	0.030391673	0.028365111	0.03671431	0.046484075	0.046151858	0.04051034	0.047686003	0.03215135	0.036769323	0.035605278	0.02729805	0.026998915	0.03163449	0.034231916	0.03851976	0.026652893	0.038385194	0.033010013	0.03497522	0.040973715	0.026750315	0.03370629	0.02820102	0.03516615	0.043224007	0.030355925	0.047422934
guilt	0.041051317	0.030338462	0.028287536	0.035208043	0.04767194	0.046042725	0.04132894	0.048600294	0.031874705	0.035624385	0.036630005	0.027605023	0.02659954	0.03134493	0.033175725	0.03886442	0.02720891	0.03840548	0.032573204	0.035130147	0.04249617	0.026583994	0.03449386	0.028405007	0.033863682	0.04234441	0.02926488	0.048982292
