,/-LIGHT-TRANS4/all_loss-1.0_0.05_0.05_510-spst-w_eosstg-w_emocat-w_stgcat-vae-mvae4-wo_comet-ct0.2-svae-lc-je-tppm602/bleu2/non_mix/,/bart-our/-LIGHT-TRANS4PPO/all_loss-1.0_0.05_0.05_510-spst-w_eosstg-w_emocat-w_stgcat-vae-mvae4-wo_comet-ct0.2-svae-lc-je-tppm602/bleu2/epoch0_step69_2024-06-03/lr_2e-07-bs_64-sl_0-gs_16-kl_0.0-wr_1-sr_0.5-lm_0.5_stem_1wo_fullwo_diff_nonmix_rec_llama_loadtemp/non_mix,kemi_generated_data_2,misc_generated_data,transESC_generated_data,multiesc_generated_data_new
length,23.489,23.855,20.009,16.31,17.362,19.627
dist-1,3.168,3.096,3.011,3.873,4.05,4.552
dist-2,15.112,15.683,15.79,17.312,18.595,22.209
dist-3,29.178,30.823,30.962,31.869,34.138,42.207
bleu-1,23.801,24.081,20.764,17.946,18.58,21.372
bleu-2,10.067,10.139,8.505,7.204,7.612,8.551
bleu-3,5.374,5.345,4.378,3.651,3.907,4.385
bleu-4,3.204,3.112,2.544,2.129,2.308,2.559
f1,24.288,24.541,20.491,21.247,21.048,23.836
rouge-l,19.686,19.846,17.299,17.939,17.918,18.996
bert_precision,0.863,0.863,0.854,0.86,0.863,0.862
bert_recall,0.859,0.86,0.854,0.853,0.853,0.856
bert_f1,0.861,0.861,0.854,0.856,0.858,0.859
Bleu_1,0.238,0.241,0.208,0.179,0.186,0.214
Bleu_2,0.101,0.101,0.085,0.072,0.076,0.086
Bleu_3,0.054,0.053,0.044,0.037,0.039,0.044
Bleu_4,0.032,0.031,0.025,0.021,0.023,0.026
ROUGE_L,0.197,0.198,0.173,0.179,0.179,0.19
CIDEr,0.208,0.203,0.153,0.222,0.232,0.231
EmbeddingAverageCosineSimilarity,0.914,0.916,0.903,0.895,0.896,0.911
VectorExtremaCosineSimilarity,0.498,0.499,0.513,0.521,0.52,0.496
GreedyMatchingScore,0.728,0.731,0.716,0.717,0.716,0.72
