,length,dist-1,dist-2,dist-3,bleu-1,bleu-2,bleu-3,bleu-4,f1,rouge-l,toxic,coherence,bert_precision,bert_recall,bert_f1,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,EmbeddingAverageCosineSimilarity,VectorExtremaCosineSimilarity,GreedyMatchingScore
/-LIGHT-TRANS4/all_loss-1.0_0.1_0.1_510-spst-nokl-vae16-ct0.1-svae-lc-je-tp-situ-stg_8am922/non_mix/,23.56078431372549,3.5479073719991505,18.11733322555221,34.96048645098413,24.172194446444248,10.22797797422853,5.382326955295404,3.147071864233073,24.980790325690684,20.31558327245582,9.175126801606487,0.8142671984978789,0.8643883380495125,0.8603066442578966,0.8621606557197821,0.24172194446443357,0.10228076743262562,0.053827604066410135,0.0314794519765447,0.09367830978251333,0.2031558327245582,0.22759515118995696,0.917578,0.499726,0.732931
/bart-our/-LIGHT-TRANS4PPO/all_loss-1.0_0.1_0.1_510-spst-nokl-vae16-ct0.1-svae-lc-je-tp-situ-stg_8am922/epoch0_step78_2024-06-11/lr_2e-07-bs_64-sl_0-gs_16-kl_0.0-wr_1-sr_0.5-lm_0.5_stem_1wo_fullwo_diff_nonmix_rec_llama_load_1.5temp/non_mix/,26.5520697167756,3.1854302377135846,16.72463973876624,33.42952275249723,23.5357828577055,9.974577245784385,5.301510950723172,3.1774664204762546,24.657492304658092,19.963805080145242,9.208305689263968,0.8211965842300023,0.8625800320525574,0.8606614340883973,0.861441142600606,0.23535782857705115,0.09974662291781314,0.05301760609655913,0.03177945948262009,0.09745592948484931,0.19963805080145242,0.21659872905885508,0.919534,0.497893,0.734337
/bart-our/-LIGHT-TRANS4PPO/all_loss-1.0_0.1_0.1_510-spst-nokl-vae16-ct0.1-svae-lc-je-tp-situ-stg_8am922/epoch0_step78_2024-06-11/lr_2e-07-bs_64-sl_0-gs_16-kl_0.0-wr_1-sr_0.5-lm_0.5_stem_1wo_fullwo_diff_nonmix_rec_llamatemp/non_mix/,26.564705882352943,3.3082783658025257,17.507139436294946,34.6933870699377,23.226060427123315,9.669683873651937,5.052941699615552,2.966822848557376,24.466983091454015,19.838404242498147,9.190048401716748,0.818129709124303,0.8623737755943747,0.8601523831778881,0.8610887985603483,0.23226060427122935,0.09669766279292305,0.05053239277594195,0.02967337772833924,0.09684923963955966,0.19838404242498145,0.21827240416882043,0.918715,0.495649,0.732336
/bart-our/-LIGHT-TRANS4PPO/all_loss-1.0_0.1_0.1_510-spst-nokl-vae16-ct0.1-svae-lc-je-tp-situ-stg_8am922/epoch0_step78_2024-06-11/lr_2e-07-bs_64-sl_0-gs_16-kl_0.0-wr_1-sr_0.5-lm_0.5_stem_1wo_fullwo_diff_nonmix_rec_load_1.5temp/non_mix/,25.82701525054466,3.25915265541086,16.867822397776315,33.23217864300029,24.166146474786157,10.154037656955865,5.318520478341814,3.1383259489458597,24.942050809548384,20.142291846696313,9.2208951057432,0.8193741563180599,0.8632077601480588,0.8605964707652988,0.8617256411799679,0.24166146474785752,0.1015412676146186,0.0531874610499277,0.03138800104793793,0.09714989638005966,0.20142291846696314,0.2182683299930337,0.919874,0.500692,0.735648
/bart-our/-LIGHT-TRANS4PPO/all_loss-1.0_0.1_0.1_510-spst-nokl-vae16-ct0.1-svae-lc-je-tp-situ-stg_8am922/epoch0_step78_2024-06-11/lr_2e-07-bs_64-sl_0-gs_16-kl_0.0-wr_1-sr_0.5-lm_0.5_stem_1wo_fullwo_diff_nonmix_rec_load_1.5_woatemp/non_mix/,25.28322440087146,3.2926610443208326,17.110187888314993,33.63051596379064,24.16372253339078,10.183899148629836,5.3543569494560055,3.1613519094941838,24.819034136840948,20.26034119373385,9.191028195372853,0.817871700120848,0.8630988024158935,0.8603095365245877,0.8615288063851317,0.24163722533390364,0.10183990516415996,0.053545893711547186,0.031619183114916447,0.09636922434454978,0.20260341193733852,0.21540058766657036,0.919406,0.50025,0.734591
/bart-our/-LIGHT-TRANS4PPO/all_loss-1.0_0.1_0.1_510-spst-nokl-vae16-ct0.1-svae-lc-je-tp-situ-stg_8am922/epoch0_step78_2024-06-11/lr_2e-07-bs_64-sl_0-gs_16-kl_0.0-wr_1-sr_0.5-lm_0.5_stem_1wo_fullwo_diff_nonmix_rec_load_1.5_woetemp/non_mix/,26.08061002178649,3.278318276580959,17.157022400752723,33.872550870172525,23.590343329713473,9.905240818876976,5.186565443374994,3.064331487010326,24.536837127530934,19.84902719477126,9.160645309681467,0.8171867614188474,0.8625614262094685,0.860109042082477,0.8611597946007008,0.23590343329713082,0.09905326861248226,0.05186814447985929,0.030648755596159264,0.09588325135093169,0.1984902719477126,0.21081230840615128,0.918227,0.496314,0.733021
supporter_generated_data,15.797186400937866,4.23070828711773,19.495412844036696,35.549860418287494,17.27606996754951,7.374967265827605,3.9182135818118504,2.37799503342991,21.485821692008024,18.273681839018742,9.151929279075278,0.7444355419478198,0.8628740416182443,0.8520149335632011,0.8572424800077328,0.1727606996754823,0.07375843655752999,0.03919245066183544,0.023805842546509734,0.07806383429623501,0.1827368183901874,0.24249563847591538,0.900684,0.522637,0.71832
cooper_generated_data,22.297225891677677,4.15891328619278,18.43150016270745,33.32991137118024,21.995733395720947,8.62087513408835,4.2107608780075125,2.3908920062393686,23.486629795907508,19.167776562425008,9.23859332592437,0.7950182122227651,0.8641032300584383,0.8571546638736321,0.8604466437584816,0.21995733395719647,0.0862087513408783,0.04211080577414608,0.02392029816537924,0.08857770020413569,0.19167776562425007,0.17691823748980093,0.91634,0.499864,0.732457
kemi_generated_data_2,20.008925383791503,3.010667868680039,15.790099716511708,30.96217623105663,20.76367204924614,8.5052816554273,4.377681080891649,2.5443674599152346,20.490974098819823,17.299422003996963,9.128220141332987,0.7443519988718043,0.8540228520576888,0.8536419031110162,0.8536414721743288,0.2076367204924577,0.08505281655427144,0.04377681080891567,0.02544367459915186,0.08169102705935372,0.17299422003996962,0.15272041190945834,0.903252,0.513294,0.716449
misc_generated_data,16.310090702947846,3.873069944829118,17.311955661124305,31.86901977461195,17.94635844914038,7.203811247360391,3.6505414174502495,2.1288403308603723,21.24716369463729,17.93885987715403,9.135800399262111,0.7265200667566162,0.8598830028185769,0.8528034364690587,0.8561541918589144,0.1794635844913914,0.07206078169368979,0.036522224686521755,0.021312489580871376,0.07682550720042455,0.17938859877154031,0.22242074973670517,0.894669,0.521046,0.716542
