,reward_a,turn_a,response_a,reward_b,turn_b,response_b
3,4.655677318572998,17,"I can understand that. I have struggled with this as well. I found that if I studied hard, I felt less stressed and less anxious.",4.6390700340271,17,I can understand that. I have struggled with this as well.
5,4.553779602050781,10,"I can see that being frustrating, if you can't keep them neat. Do you have any hobbies that you enjoy?",4.521334171295166,10,"I can see that being frustrating, if you can't keep them neat. Do you have any hobbies?"
6,4.500360488891602,15,That's a very difficult situation to be in. I can understand how you feel.,4.435582160949707,15,I can understand how that would be difficult. It's not easy to deal with a situation like that.
8,4.642299652099609,15,"I think that would be a great idea. It sounds like you're trying to work on your own, but it's hard to find time for yourself.",4.67542028427124,15,I think that would be a great idea. You could also try to take some time off of work to get your mind off of things.
9,4.660673141479492,11,i can understand that. have you tried talking to a professional counselor about this? they can help you with your feelings and help you get over this.,4.631837368011475,11,i can understand that. you are feeling confused and confused about the situation. do you think that you could talk to a professional counselor about this?
10,4.888635158538818,36,You too!,4.895583152770996,36,You're welcome!
11,4.701862812042236,48,"Ok, so you feel that you are at your end and that you're not able to help him financially?",4.714977741241455,48,"I understand that. I have been in a similar situation, and I know how difficult it can be to get help."
12,4.667536735534668,33,"don't be mad at yourself, just do it with moderation",4.511336326599121,33,it's ok to be mad at yourself
13,4.538295269012451,8,I understand that. It sounds like you are feeling a bit down about the breakup.,4.517244338989258,8,I can understand that. I've been in a similar situation.
14,4.727027416229248,18,you can do it,4.736715793609619,18,try to study more
15,4.4665632247924805,50,I think it is important to take some time and breathe.,4.366846561431885,50,I understand that. I have been in a similar situation.
16,4.227414608001709,13,i'm sorry to hear that. have you tried to talk to your friends and family about this?,4.2564263343811035,13,i can understand how that would be difficult. have you considered seeing a counsellor?
17,4.562112331390381,42,"I have been doing customer service for 15 to 20 years. i have been running on a hamster wheel, but it has brought me to this.",4.616466999053955,42,you are very welcome.
18,4.1488037109375,17,I understand. I have been in that situation too. It is a tough time to find work.,4.174159526824951,17,I understand. I have been in that situation too.
19,4.588814735412598,10,I understand that you are feeling that pain as well.,4.554077625274658,10,I understand that you are feeling that pain as well. Have you tried to talk to your family about it?
20,4.812933921813965,26,You are welcome:),4.832266807556152,26,You too!
21,4.385974407196045,28,"I understand, I have been in that position myself. I have had to leave my job and I know how hard it is to get back out there.",4.339221477508545,28,"I understand, I have been in that position for a while."
22,4.680003643035889,31,I think that you should try to get some help from the authorities.,4.673778057098389,31,I am sure that they have been stolen. Do you think that they are still there?
23,4.387205123901367,17,"that's a tough situation to be in. i have been in relationships myself and i have found that it helps to talk to people about things that are not really important. like friends, family, etc.",4.281938076019287,17,i hear you. do you think they are doing something that is causing you to worry?
24,4.310760021209717,6,I understand how you feel. My aunt passed away a couple weeks ago and i know how sad that can be.,4.251361846923828,6,I understand. My aunt passed away a couple weeks ago. I can understand why you feel sad.
25,4.728267192840576,35,I think that is a great idea. I think that it would be good to take some time to yourself and get your mind off of things.,4.726283550262451,35,"I would also try to go for a brisk walk, or a brisk run."
26,4.530932903289795,27,There are a lot of online resources to help you get in a better frame of mind.,4.528676509857178,27,I have found that the best way to release negative thoughts is by practicing them.
28,4.584731101989746,16,"I understand. It's hard to go out when you are not alone. I know it's hard when you're not alone, but it's important to be able to connect with people. Have you tried talking to your friends about this?",4.49356746673584,16,I can understand how you are feeling. I have been in this situation myself. It's hard to find a way to do things when we are so busy.
29,4.787643909454346,31,you are very welcome. I hope that you are able to get some help from your sister and I wish you all the best.,4.79979944229126,31,you are very welcome. I hope that you have a wonderful day and I wish you all the best.
30,4.295151710510254,9,I'm sorry to hear that. Do you think she is upset about the situation?,4.2170844078063965,9,I'm sorry to hear that. I've had dogs like that before. Have you tried to talk to them about it?
31,4.629128932952881,7,"I can understand that, I have been in college and I know how anxious you are. Have you tried speaking to your professors about this?",4.618710994720459,7,"I can understand that, I've struggled with anxiety myself too. Have you tried talking to your professors about it?"
32,4.399494647979736,11,I can understand how you feel. I've been in a similar situation and I know how difficult it can be to find a higher level of support.,4.390547752380371,11,I can understand how you feel. I have been in the same situation myself and I can tell that this has been really hard on everyone.
33,4.620465278625488,5,"I understand that. I know it can be stressful, but I think you should be prepared for it.",4.503196716308594,5,I see. So you are feeling stressed about the situation?
34,4.42244291305542,9,I understand it can be very difficult at times with parents. Especially since they are so young. Do you think that is why they want to date someone close to your age?,4.382584571838379,9,I understand it can be very difficult at times with parents. Especially since they are so young.
36,4.261239051818848,2,I'm sorry to hear that. I think it's really hard to live in a place like that when you're feeling so stuck.,4.306854248046875,2,I'm sorry to hear that. I've been in the same situation and I know how difficult it can be to move out.
37,4.472625732421875,14,I understand. I have been in the same situation. It is a difficult situation to be in.,4.480252742767334,14,I am sure there are plenty of jobs out there. Have you considered looking into online work?
38,4.504293918609619,13,I think that you can do it. I know that it is hard to get through a difficult time but I think that it will get better.,4.586940765380859,13,I think that you can try to focus on the good experiences you had with your father and remember the times where you both were happy.
39,4.717428207397461,16,I understand that. I have been in a similar situation myself. I think that it is important to try and find a job that will pay you well.,4.707132816314697,16,I can imagine that that must be very difficult. I know that you are feeling very guilty about it.
40,4.705562591552734,15,You too. Bye.,4.701884746551514,15,I think that you are doing the right thing. I think that it is important to be able to stay tired.
41,4.729698657989502,20,I think you are doing the right thing. I think you will get through this!,4.679584980010986,20,I think you are doing the right thing. You are doing your best and you are not alone.
42,4.720615386962891,33,I can understand how that would be difficult. I have been in a similar situation and I know how difficult it can be to process a break in trust.,4.736114501953125,33,I understand how you feel. I have been in a similar situation and I know how difficult it can be to process a break in trust.
43,4.637050151824951,16,I understand. I have been in a similar situation. It is important to be able to talk to someone who is not in your life. I would suggest reaching out to a professional financial advisor or counselor who can help you.,4.570663928985596,16,I understand. I have been in a similar situation. It is difficult to make friends when they do not respond.
44,4.23970365524292,19,i understand. i've been in a similar situation. have you tried to get out of the house?,4.312629699707031,19,i see. shopping is hard especially when stores are picked over. what have you tried to do to make things better?
45,4.375335216522217,6,That's a very difficult situation to be in. Do you think that he might not know what you did?,4.308495998382568,6,That's a really hard thing to deal with.
46,4.678863048553467,11,i can understand that. I have been in the same situation and i have had to deal with a lot of weird things.,4.650908946990967,11,i see. So you are worried that they are doing skethy stuff behind your back?
47,4.398457050323486,9,I'm in the US so i can see that you are feeling a bit down right now,4.408043384552002,9,yes it's snowing here but i think that it's the season for the most part
48,4.356481552124023,22,I'm an accountant. I have a lot of experience in that field. I've been in a few companies and i've been able to get some help.,4.287556171417236,22,That's a good idea. I know a lot of people are looking for work but they aren't sure if they can find one.
49,4.666568279266357,24,I am sorry to hear that. What are your concerns?,4.624438762664795,24,I understand that. It is a very difficult time to be in this situation.
50,4.533990383148193,8,"I understand. Being new at a job can have its difficulties. From speaking with you, it seems like you are caring and hardworking.",4.479272365570068,8,I am glad I could help.
51,4.692434787750244,30,That is a difficult situation to be in. I can understand how you feel.,4.681188106536865,30,I understand how you feel. Have you tried to talk to him about your feelings?
52,4.622070789337158,10,I think that it is important to be aware of your own vulnerability. Do you have any other people you are interested in? Any hobbies?,4.661895751953125,10,I think that it is important to keep your head up and not let this affect you.
54,4.51075553894043,3,I can understand that. I have also struggled with decluttering. I think it is important to start with the basics first.,4.228323459625244,3,I can understand that. I have been in a similar situation and it has been very difficult to get things done.
55,4.697408199310303,11,That's a very strange thing to say.,4.729002952575684,11,I think that's a good way to start the conversation.
56,4.432614803314209,26,I think you could start a business with your own money. You can start with a small business and then see what the options are.,4.387562274932861,26,I see. You could try to start a business and then start a new company.
57,4.323304653167725,24,I can understand how that is hard.,4.3089680671691895,24,I understand. Have you tried talking to your friends and family about the pandemic?
58,4.33314847946167,14,I understand that. I have been in similar situation myself. I know how hard it is to find a job. But I think we can do it,4.299770355224609,14,I understand that. But it is not the end of the world.
59,4.292636394500732,15,"I understand, it can be very difficult to talk about.",4.3036980628967285,15,"I understand, i have been in a similar situation myself."
60,4.774329662322998,22,"i think it is a good idea to talk to someone online, i know its hard to get a face to face conversation but i think you can do it!",4.8029608726501465,22,"yes i agree, i know its hard to trust people online but i think you can do it!"
61,4.810530185699463,39,"I understand, I have been in that situation too.",4.787428855895996,39,I can understand that. Do you have any friends or family that you can talk to?
62,4.570777893066406,10,that is a really tough situation. what kind of business do you have?,4.630944728851318,10,"i see, you are not alone in that. have you tried to make extra money?"
63,4.488222122192383,7,I think that would be a terrible thing to do. I think you should be able to talk to them about how you feel and let them know that you are not worth it.,4.359190464019775,7,I would suggest reaching out to them and letting them know that you are not worth the effort.
64,4.779980659484863,19,it is a great job. you are doing your best to stay connected with people and make sure that you are being heard.,4.787060737609863,19,i think you are a good employee. you are not alone in your faith.
66,4.838000774383545,24,Well I think you need to take a break from it and go for a walk.,4.8734259605407715,24,I think that is a good idea. Do you think that she might have been a bit toxic?
67,4.614387512207031,15,I would suggest that you check with your friend and see if she has any suggestions of things you could do based off of your skills.,4.628737926483154,15,That is a good idea. I would also think of some things you could do based off of your skills.
68,4.67387580871582,23,"Well, i think it is best to not speak to him. It might be better to just ignore him.",4.697926044464111,23,"I understand, I think that is a very difficult thing to do."
69,4.487365245819092,14,I am sorry to hear that. Have you tried contacting your friends to express your feelings?,4.518747329711914,14,I am sorry to hear that. Do you have any friends you can talk to?
70,4.525071620941162,7,I understand that. Breakups can be really hard to deal with. Have you tried talking to your partner about it?,4.487547874450684,7,That is a very difficult situation to be in. Do you have any friends or family that you can talk to about this?
71,4.323875904083252,9,I understand. So you are in your mid twenties?,4.466479778289795,9,I see. So you are feeling like you have a lot of potential to be successful in life. What do you think?
72,4.505472660064697,10,I understand that. I have been in that situation myself. I can tell you are really stressed out by the app's behaviour.,4.4986042976379395,10,I understand that. I have been in a similar situation myself.
73,4.2150444984436035,5,you can do it,4.298320293426514,5,yes i think you can do it
74,4.50075626373291,17,"I am not sure what the job market is right now, but I know there are many jobs out there.",4.807995319366455,17,I am glad to hear that.
75,4.326049327850342,18,I'm sorry to hear that. I think you should try talking to the teacher about some form of extra credit? or is the final grade a lock?,4.377115249633789,18,"I think you should try to appeal the grade one more time. If it doesn't work, you could try talking to the professor about it again."
76,4.7143988609313965,15,I think that you are both mature enough to be able to tell him that you love him.,4.691677570343018,15,I think that you both have a lot of experience in relationships.
77,4.22823429107666,50,I suggest creating flyers and ask to be a dog walker.,4.231898784637451,50,I would suggest creating flyers and ask to be a dog walker.
78,4.423386096954346,20,I can understand that. I have also suffered from depression before but it seems to have increased recently. Is lockdown a cause of the increase?,4.356161117553711,20,I can understand that. It seems like lockdown has been a major factor in the pandemic. Have you tried to talk to your doctor about it?
79,4.349082946777344,6,I know it's hard to be honest with people when they have their own opinions on things. i'm sure you can find some support online.,4.365858554840088,6,I know it's hard to find things to look forward to when things go bad. I think you should try to focus on the things that are important to you and not the things you don't want.
80,4.508769989013672,23,I can tell you are very upset about that. I've been through a similar situation myself.,4.482149124145508,23,I'm sorry to hear that. It's a new start when I will be 90 in March.
81,4.660581111907959,8,I am sorry to hear that. I wish you all the best in the future,4.586994171142578,8,I can understand how you feel. I was in the same situation. I know how difficult it is to get a job.
82,4.516246318817139,19,I understand. I have been in the same situation.,4.574461936950684,19,I think it is better to take a break from school than go out and do something you enjoy.
83,4.678717613220215,30,"I understand that sometimes people just portray things differently, for instance I am also very laid back and nonchalant about most things which can lead to miscommunications.",4.702479839324951,30,"I can understand that, I have had to deal with a lot of misunderstandings in the past and I know how difficult it can be to get over them."
84,4.578742504119873,15,I'm sorry to hear that. What is causing you to feel sad?,4.555654525756836,15,I'm sorry to hear that. Is there anything specific going on that you'd like to talk about?
85,4.167320251464844,4,I can understand that! I've been in a similar situation where I have to collect things from all the rooms and then put them in a pile.,4.1648268699646,4,I can understand that! I have been in a similar situation.
86,4.557128429412842,19,did he tell you that he was cheating?,4.620938777923584,19,I can understand how that would be upsetting. Have you talked to him about it?
88,4.611907005310059,32,I'm sure it will get better but we need to stay positive and keep trying.,4.513704776763916,32,I think it's been a very busy year.
89,4.751261234283447,25,I understand. I have had a fight with my boyfriend over food and sex.,4.745136260986328,25,I understand. I had a fight with my boyfriend and it was over money.
90,4.374592304229736,42,I think you are doing the right thing. I think you should not be in a situation like that.,4.387584686279297,42,I think you are doing the right thing. You are not alone in feeling this way.
91,4.441803455352783,13,I can understand that. I have been in the same situation myself. I had to leave my job and went back to school.,4.465518474578857,13,I can understand that. I have been in the same situation myself. I was also in a similar situation.
92,4.687014579772949,16,I am glad to hear that. I think it is important to be optimistic about the future.,4.603342056274414,16,I am glad to hear that.
93,4.732359886169434,42,I see. Have you tried to talk to your doctor about it?,4.7552642822265625,42,I understand that. I have had a similar situation myself.
94,4.508808612823486,9,I am happy to hear that. Is there anything else i can help you with?,4.521865367889404,9,I am happy to hear that. I think it might be best to just end the relationship and move on.
95,4.7406229972839355,18,I think that's a good idea. It's nice to have someone to talk to about your issues.,4.772989749908447,18,I'm glad to hear that. I think it's important to keep safe and have a plan in place for the future.
96,4.3324055671691895,26,I understand. I have been in a similar situation and it is difficult to find work due to the pandemic. Do you have any friends or family who can help you?,4.42775297164917,26,I understand. It sounds like you are feeling very isolated and hopeless. Do you have any friends or family who may be able to help you?
97,4.527135372161865,9,I am glad to hear that. I would like to help you too.,4.51875114440918,9,I am glad to hear that. I would like to talk to you about your loss. Is there anything else you would like me to help you with?
98,4.644341468811035,28,I think that's a terrible idea. I think that it's a shame that we are not able to do anything about it.,4.680113792419434,28,I think it's really a shame that people are not being able to use the correct grammar. I think we need to get some more clarity on how we are supposed to be thinking about it.
99,4.314690113067627,28,I can understand how you feel. I have been in a similar situation and I know how hard it is to make it through this.,4.306978702545166,28,I can understand how you feel. I have been in a similar situation myself and it is very difficult to find happiness.
100,4.597573757171631,5,I think you should consider getting a cat cafe. I have been in that situation myself and it has been very helpful to me.,4.566568851470947,5,I think you should try to find a cat cafe. I know it is very difficult but I think you can do it.
101,4.593873500823975,17,I think that's a good thing. I think it's important to be able to see things from your perspective:),4.484900951385498,17,I hope that I have been able to help you a little
102,4.694916248321533,44,I'm glad to hear that. Is there anything else you'd like to talk about?,4.5945305824279785,44,I'm sorry to hear that. It's been a bit cold here. What is the problem?
103,4.42277717590332,9,"wow, that is a lot of work. i am sure you will find a job soon",4.402480602264404,9,i believe it will work out.
104,4.525259017944336,16,I think you should try going to the park. There are a lot of people there.,4.483199596405029,16,"I've never used it, not sure if you're the right place to meet someone. Not always the best intentions."
105,4.2227349281311035,35,I understand that. Have you tried to study for hours everyday?,4.404334545135498,35,"I can understand that. I've also struggled with this, as well. Have you tried to study for hours each day?"
107,4.785501956939697,45,I understand. It sounds like you are in a very difficult situation.,4.7536301612854,45,I can understand that. It is hard to get disability when you are in a bad place.
109,4.8100385665893555,21,i think the best way is to move on,4.8100385665893555,21,I think the best way is to move on
111,4.504665374755859,3,"I have a friend who is addicted to heroin and I've tried to help him. He has been through a lot of hard times, but I know that it's important to take care of yourself.",4.556652069091797,3,I think that is a great idea!
112,4.781875133514404,19,I think you should take the bus route. It's a bit more rural but it's not as crowded as the bus routes.,4.819090366363525,19,"I understand, I was in school too. I think you should try to avoid them."
113,4.647446632385254,18,I understand. I have also found that it helps to get some rest and refreshments. Do you have any hobbies or interests that you can do?,4.352044105529785,18,I understand. It's been a rough year for everyone. Have you tried to find a way to get out of it?
114,4.473711013793945,2,"I tried a lot of different things, but I found that the best thing to do was to take a walk. It helped me a lot.",4.410161972045898,2,I tried to take a few deep breaths and try to focus on the positives. I also tried to focus more on the positive aspects of life.
115,4.741242408752441,19,I understand that. It is not the time to be proud of your achievements. I think it is important to be honest with yourself and your family.,4.68899393081665,19,I would suggest talking to your landlord about that. It is not a good idea to try to get them to do that.
116,4.598548889160156,2,"I think that is a good point to be making. I know it's hard, but I think you will get through it.",4.556055545806885,2,"I understand that. I have had to deal with the same thing myself. I know it's hard, but I think we can get through it."
117,4.6593451499938965,27,I would suggest looking at resumes that you normally wouldn't and see what kind of qualifications they need and see if you can get that done online.,4.594152927398682,27,"I would suggest looking at job sites that have specialized skills for that, like LinkedIn or Indeed."
118,4.449051856994629,19,I understand that. It seems like you are in a very difficult situation. Do you have any family members that you can talk to?,4.484836578369141,19,"That is a tough situation, being isolated physically from those that you love. I'm sorry you're going through that."
119,4.812190055847168,21,You too!,4.812190055847168,21,you too!
120,4.566864967346191,2,"I understand how you feel. I have been in a similar situation where I was kicked out of my house and it was like she was violent. I know how hard it can be to break up, but I know that you can make it through this.",4.372726917266846,2,I understand that. I have been in a similar situation where I was in a fight and it ended up hurting me more than once.
121,4.6611647605896,24,I can understand that. Have you tried taking breaks to reset?,4.711573600769043,24,"I understand, I've also struggled with this as well. Have you tried taking breaks to take your mind off of the situation?"
122,4.438217639923096,8,I understand. I think you are being taken advantage of. Are you able to see that he is not the bigger person?,4.388345718383789,8,I think that would be a good idea.
123,4.865096569061279,25,Have you tried seperating from her?,4.88200044631958,25,"I understand that. I have had to deal with a friend who is rude and mean to me, but I have found that it is not always the best thing to do."
124,4.602471351623535,9,"Oh I understand. I have also struggled with finding work, and it can be very frustrating.",4.4872918128967285,9,I can understand that. I have been in that situation before.
125,4.698624134063721,11,I am glad to hear that. Do you have any friends or family that you can talk to?,4.646568298339844,11,I am sorry to hear that. Do you have any friends or family that you can talk to?
